,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
30,Desmond Bane,MEM,69,31.9,19.2,6.1,5.3,1.2,0.4,2.4,48.4,89.4,0.28,0.36,0.04,0.66,0.25,-0.53,0.60,0.09,0.80
31,Evan Mobley,CLE,71,30.6,18.5,9.3,3.2,0.9,1.6,1.2,55.7,72.5,0.27,0.24,1.31,-0.41,-0.54,1.70,-0.58,1.37,-0.95
32,Dejounte Murray,NOP,31,32.6,17.5,6.5,7.4,2.0,0.4,1.7,39.3,82.3,0.27,0.05,0.19,1.66,2.52,-0.57,-0.10,-1.91,0.28
33,Josh Hart,NYK,77,37.6,13.6,9.6,5.9,1.5,0.4,1.1,52.5,77.6,0.26,-0.64,1.43,0.93,1.25,-0.64,-0.68,0.66,-0.21
34,Kawhi Leonard,LAC,37,31.8,21.5,5.9,3.1,1.6,0.5,2.1,49.8,81.0,0.26,0.77,-0.02,-0.43,1.38,-0.43,0.33,0.39,0.10
35,Nikola Vucevic,CHI,73,31.2,18.5,10.1,3.5,0.8,0.7,1.8,53.0,80.5,0.25,0.23,1.63,-0.25,-0.60,0.04,-0.01,0.98,0.01
36,Austin Reaves,LAL,73,34.9,20.2,4.5,5.8,1.1,0.3,2.7,46.0,87.7,0.25,0.54,-0.58,0.86,0.12,-0.73,0.96,-0.38,1.19
37,Trey Murphy,NOP,53,35.0,21.2,5.1,3.5,1.1,0.7,3.0,45.4,88.7,0.25,0.72,-0.36,-0.23,-0.02,0.09,1.20,-0.57,1.15
38,Franz Wagner,ORL,60,33.7,24.2,5.7,4.7,1.3,0.4,1.7,46.3,87.1,0.24,1.24,-0.11,0.36,0.48,-0.64,-0.04,-0.50,1.14
39,Jaren Jackson,MEM,74,29.8,22.2,5.6,2.0,1.2,1.5,2.0,48.8,78.1,0.24,0.89,-0.13,-1.00,0.46,1.58,0.20,0.17,-0.26
40,Donovan Mitchell,CLE,71,31.4,24.0,4.5,5.0,1.3,0.2,3.3,44.3,82.3,0.24,1.21,-0.57,0.48,0.71,-0.85,1.50,-0.97,0.39
41,Jalen Brunson,NYK,65,35.4,26.0,2.9,7.3,0.9,0.1,2.3,48.8,82.1,0.22,1.57,-1.23,1.64,-0.37,-1.07,0.56,0.16,0.51
42,Darius Garland,CLE,75,30.7,20.6,2.9,6.7,1.2,0.1,2.8,47.2,87.8,0.22,0.61,-1.24,1.36,0.39,-1.02,1.05,-0.18,0.80
43,John Collins,UTA,40,30.5,19.0,8.2,2.0,1.0,1.0,1.5,52.7,84.8,0.21,0.31,0.87,-1.00,-0.24,0.58,-0.30,0.88,0.60
44,Josh Giddey,CHI,70,30.2,14.6,8.1,7.2,1.2,0.6,1.5,46.5,78.1,0.19,-0.47,0.84,1.57,0.35,-0.09,-0.28,-0.20,-0.18
45,Scottie Barnes,TOR,65,32.9,19.3,7.7,5.8,1.4,1.0,1.2,44.6,75.5,0.18,0.37,0.70,0.90,0.95,0.53,-0.61,-0.77,-0.60
46,Brandon Ingram,NOP,18,32.9,22.2,5.6,5.2,0.9,0.6,2.4,46.5,85.5,0.18,0.90,-0.16,0.57,-0.46,-0.15,0.61,-0.40,0.49
47,Ja Morant,MEM,50,30.3,23.2,4.1,7.3,1.2,0.2,1.8,45.4,82.4,0.17,1.07,-0.74,1.62,0.40,-0.85,-0.02,-0.64,0.53
48,Kristaps Porzingis,BOS,42,28.7,19.5,6.8,2.1,0.7,1.5,2.5,48.3,80.9,0.17,0.41,0.31,-0.96,-0.85,1.53,0.67,0.06,0.16
49,Derrick White,BOS,76,33.8,16.4,4.5,4.8,0.9,1.1,3.5,44.2,83.9,0.16,-0.14,-0.59,0.37,-0.31,0.68,1.71,-0.63,0.22
50,Jordan Poole,WAS,68,29.4,20.5,3.0,4.5,1.3,0.4,3.5,43.2,88.3,0.16,0.58,-1.18,0.22,0.52,-0.55,1.67,-1.02,1.01
51,Zach LaVine,CHI/SAC,74,35.3,23.3,4.3,4.2,0.8,0.2,3.2,51.1,82.5,0.15,1.09,-0.68,0.09,-0.73,-0.99,1.45,0.69,0.29
52,Bam Adebayo,MIA,78,34.3,18.1,9.6,4.3,1.3,0.7,1.0,48.5,76.5,0.15,0.16,1.44,0.15,0.50,-0.02,-0.76,0.11,-0.42
53,Ivica Zubac,LAC,80,32.8,16.8,12.6,2.7,0.7,1.1,0.0,62.8,66.1,0.14,-0.08,2.64,-0.66,-0.99,0.82,-1.77,2.42,-1.23
54,Paul George,PHI,41,32.6,16.2,5.3,4.3,1.8,0.5,2.3,43.0,81.4,0.13,-0.18,-0.25,0.16,1.99,-0.38,0.56,-0.94,0.08
55,Jakob Poeltl,TOR,57,29.6,14.5,9.6,2.8,1.2,1.2,0.0,62.7,67.4,0.12,-0.49,1.44,-0.61,0.24,1.05,-1.76,2.09,-0.97
56,Jimmy Butler,GSW/MIA,55,31.8,17.5,5.4,5.4,1.4,0.3,0.6,50.4,84.2,0.11,0.06,-0.23,0.70,0.87,-0.68,-1.19,0.40,0.97
57,Brandon Miller,CHA,27,34.3,21.0,4.9,3.6,1.1,0.7,3.9,40.3,86.1,0.10,0.69,-0.44,-0.19,0.02,0.10,2.07,-1.94,0.52
58,OG Anunoby,NYK,74,36.5,18.0,4.8,2.2,1.5,0.9,2.3,47.6,81.0,0.10,0.14,-0.45,-0.89,1.10,0.36,0.53,-0.06,0.08
59,Mark Williams,CHA,44,26.5,15.3,10.2,2.5,0.7,1.2,0.0,60.4,80.4,0.09,-0.35,1.66,-0.76,-0.88,1.01,-1.77,1.77,0.05
60,Amen Thompson,HOU,69,32.2,14.1,8.2,3.8,1.4,1.3,0.4,55.7,68.4,0.09,-0.56,0.87,-0.08,0.89,1.13,-1.41,1.11,-1.23
61,Chet Holmgren,OKC,32,27.4,15.0,8.0,2.0,0.7,2.2,1.4,49.0,75.4,0.08,-0.40,0.82,-1.01,-0.90,2.88,-0.40,0.18,-0.56
62,Cameron Johnson,BKN,57,31.6,18.8,4.3,3.4,0.9,0.4,2.8,47.5,89.3,0.07,0.28,-0.65,-0.30,-0.35,-0.51,1.01,-0.07,1.11
63,Myles Turner,IND,72,30.2,15.6,6.5,1.5,0.8,2.0,2.2,48.1,77.3,0.07,-0.30,0.23,-1.23,-0.82,2.47,0.39,0.05,-0.26
64,Coby White,CHI,74,33.1,20.4,3.7,4.5,0.9,0.2,2.9,45.3,90.2,0.06,0.57,-0.90,0.22,-0.35,-0.89,1.14,-0.56,1.28
65,Zion Williamson,NOP,30,28.5,24.6,7.2,5.3,1.2,0.9,0.1,56.7,65.6,0.03,1.32,0.49,0.64,0.44,0.40,-1.67,2.00,-3.36
66,Miles Bridges,CHA,64,31.7,20.3,7.5,3.9,0.7,0.7,2.2,43.1,87.0,0.03,0.56,0.61,-0.07,-0.99,0.03,0.42,-1.16,0.84
67,Walker Kessler,UTA,58,30.1,11.1,12.2,1.7,0.6,2.4,0.1,66.3,52.0,0.03,-1.10,2.47,-1.16,-1.16,3.18,-1.67,1.89,-2.20
68,Jalen Suggs,ORL,35,28.7,16.2,4.0,3.7,1.5,0.9,2.2,41.0,88.2,0.03,-0.18,-0.77,-0.16,1.02,0.48,0.39,-1.31,0.76
69,Alperen Sengun,HOU,76,31.6,19.1,10.3,4.9,1.1,0.8,0.3,49.6,69.2,-0.01,0.34,1.73,0.44,0.10,0.21,-1.50,0.33,-1.77
70,Pascal Siakam,IND,78,32.7,20.2,6.9,3.4,0.9,0.5,1.6,51.9,73.4,-0.03,0.54,0.38,-0.32,-0.44,-0.28,-0.16,0.80,-0.77
71,Jaylen Brown,BOS,63,34.3,22.2,5.8,4.5,1.2,0.3,1.8,46.3,76.4,-0.03,0.89,-0.05,0.26,0.24,-0.73,0.06,-0.43,-0.51
72,Jarrett Allen,CLE,82,28.0,13.5,9.7,1.9,0.9,0.9,0.0,70.6,71.8,-0.03,-0.67,1.49,-1.03,-0.33,0.38,-1.77,2.48,-0.82
73,Isaiah Hartenstein,OKC,57,27.9,11.2,10.7,3.8,0.8,1.1,0.0,58.1,67.5,-0.06,-1.08,1.88,-0.08,-0.63,0.75,-1.77,1.23,-0.79
74,Norman Powell,LAC,60,32.7,21.8,3.2,2.1,1.2,0.2,3.0,48.4,80.4,-0.07,0.82,-1.11,-0.96,0.40,-1.02,1.20,0.07,0.07
75,Deni Avdija,POR,72,30.0,16.9,7.3,3.9,1.0,0.5,1.7,47.6,78.0,-0.07,-0.05,0.51,-0.05,-0.21,-0.38,-0.04,-0.03,-0.28
76,Malik Monk,SAC,65,31.6,17.2,3.8,5.6,0.9,0.6,2.1,43.9,86.5,-0.07,0.00,-0.87,0.77,-0.33,-0.20,0.36,-0.81,0.52
77,Onyeka Okongwu,ATL,74,27.8,13.4,8.9,2.3,0.9,0.9,0.6,56.7,75.9,-0.08,-0.69,1.17,-0.86,-0.35,0.43,-1.13,1.16,-0.36
78,DeMar DeRozan,SAC,77,35.9,22.2,3.9,4.4,0.8,0.4,1.1,47.7,85.7,-0.08,0.90,-0.83,0.21,-0.68,-0.52,-0.68,-0.08,1.03
79,Brook Lopez,MIL,80,31.8,13.0,5.0,1.8,0.6,1.9,1.7,50.9,82.6,-0.09,-0.75,-0.38,-1.10,-1.15,2.19,-0.04,0.43,0.10
80,Rudy Gobert,MIN,72,33.2,12.0,10.9,1.8,0.8,1.4,0.0,66.9,67.4,-0.09,-0.93,1.96,-1.11,-0.75,1.42,-1.77,1.90,-1.41
81,Christian Braun,DEN,79,33.9,15.4,5.2,2.6,1.1,0.5,1.1,58.0,82.7,-0.09,-0.32,-0.31,-0.70,0.03,-0.42,-0.65,1.46,0.21
82,Fred VanVleet,HOU,60,35.2,14.1,3.7,5.6,1.6,0.4,2.7,37.8,81.0,-0.09,-0.56,-0.91,0.76,1.31,-0.51,0.87,-1.74,0.05
83,Paolo Banchero,ORL,46,34.4,25.9,7.5,4.8,0.8,0.6,1.9,45.2,72.7,-0.09,1.56,0.61,0.37,-0.74,-0.15,0.11,-0.79,-1.71
84,Draymond Green,GSW,68,29.1,9.0,6.1,5.6,1.5,1.0,1.2,42.4,68.7,-0.10,-1.47,0.05,0.80,1.02,0.64,-0.60,-0.50,-0.75
85,Tari Eason,HOU,57,24.9,12.0,6.4,1.5,1.7,0.9,1.1,48.7,76.0,-0.10,-0.93,0.15,-1.27,1.66,0.35,-0.67,0.14,-0.25
86,Julius Randle,MIN,69,32.2,18.7,7.1,4.7,0.7,0.2,1.6,48.5,80.6,-0.10,0.26,0.43,0.33,-1.00,-0.86,-0.21,0.10,0.12
87,Michael Porter,DEN,77,33.7,18.2,7.0,2.1,0.6,0.5,2.5,50.4,76.8,-0.11,0.17,0.41,-0.93,-1.09,-0.37,0.73,0.46,-0.26
88,Jalen Duren,DET,78,26.1,11.8,10.3,2.7,0.7,1.1,0.0,69.2,66.9,-0.11,-0.97,1.74,-0.66,-0.97,0.85,-1.77,2.11,-1.21
89,Cam Thomas,BKN,25,31.2,24.0,3.3,3.8,0.6,0.1,2.7,43.8,88.1,-0.12,1.21,-1.05,-0.12,-1.21,-1.15,0.94,-1.06,1.51
90,Bradley Beal,PHX,53,32.0,17.0,3.3,3.7,1.1,0.5,1.9,49.7,80.3,-0.12,-0.03,-1.04,-0.16,0.08,-0.30,0.15,0.33,0.01
91,Deandre Ayton,POR,40,30.3,14.4,10.2,1.6,0.8,1.0,0.2,56.6,66.7,-0.14,-0.50,1.66,-1.20,-0.76,0.54,-1.62,1.41,-0.63
92,P.J. Washington,DAL,57,32.2,14.7,7.8,2.3,1.1,1.1,1.6,45.3,72.2,-0.15,-0.45,0.71,-0.85,0.10,0.68,-0.18,-0.40,-0.80
93,Chris Paul,SAS,82,27.9,8.8,3.6,7.4,1.3,0.3,1.7,42.7,92.4,-0.15,-1.50,-0.94,1.67,0.50,-0.79,-0.07,-0.44,0.37
94,Mikal Bridges,NYK,82,37.0,17.6,3.2,3.7,0.9,0.5,2.0,50.0,81.4,-0.15,0.07,-1.11,-0.14,-0.39,-0.31,0.22,0.41,0.02
95,Devin Vassell,SAS,64,31.0,16.3,4.0,2.9,1.3,0.5,2.5,44.3,79.2,-0.16,-0.17,-0.79,-0.57,0.65,-0.33,0.69,-0.69,-0.08
96,Anfernee Simons,POR,70,32.7,19.3,2.7,4.8,0.9,0.1,3.1,42.6,90.2,-0.16,0.37,-1.30,0.40,-0.54,-1.16,1.29,-1.20,0.83
97,Jaden McDaniels,MIN,82,31.9,12.2,5.7,2.0,1.3,0.9,1.2,47.7,81.3,-0.17,-0.90,-0.09,-1.00,0.72,0.40,-0.56,0.01,0.02
98,Jalen Green,HOU,82,32.9,21.0,4.6,3.4,0.9,0.3,2.9,42.3,81.3,-0.19,0.68,-0.54,-0.28,-0.52,-0.68,1.07,-1.38,0.17
99,Immanuel Quickley,TOR,33,27.7,17.1,3.5,5.8,0.7,0.1,2.6,42.0,86.7,-0.20,-0.02,-0.96,0.88,-0.96,-1.07,0.80,-1.07,0.79
100,Lauri Markkanen,UTA,47,31.4,19.0,5.9,1.5,0.7,0.4,2.9,42.3,87.6,-0.20,0.32,-0.02,-1.25,-0.95,-0.62,1.16,-1.16,0.90
101,Tobias Harris,DET,73,31.6,13.7,5.9,2.2,1.0,0.8,1.2,47.7,86.1,-0.20,-0.62,-0.02,-0.89,-0.13,0.17,-0.53,-0.01,0.40
102,Payton Pritchard,BOS,80,28.4,14.3,3.8,3.5,0.9,0.2,3.2,47.2,84.5,-0.21,-0.52,-0.85,-0.26,-0.50,-0.97,1.41,-0.07,0.10
103,Toumani Camara,POR,78,32.7,11.3,5.8,2.2,1.5,0.6,1.7,45.8,72.2,-0.21,-1.06,-0.08,-0.88,1.10,-0.09,-0.05,-0.22,-0.41
104,Andrew Wiggins,GSW/MIA,60,30.7,18.0,4.5,2.6,1.0,0.8,2.2,44.8,76.3,-0.21,0.14,-0.59,-0.68,-0.17,0.27,0.39,-0.60,-0.46
105,Kelly Oubre,PHI,60,34.7,15.1,6.1,1.8,1.5,0.5,1.2,47.0,75.1,-0.22,-0.38,0.07,-1.10,1.22,-0.36,-0.59,-0.15,-0.45
106,Russell Westbrook,DEN,75,27.9,13.3,4.9,6.1,1.4,0.5,1.3,44.9,66.1,-0.22,-0.71,-0.41,1.03,0.91,-0.37,-0.52,-0.43,-1.29
107,Herbert Jones,NOP,20,32.5,10.3,3.9,3.3,1.9,0.5,1.1,43.6,82.5,-0.23,-1.25,-0.82,-0.38,2.05,-0.45,-0.68,-0.46,0.12
108,CJ McCollum,NOP,57,32.1,20.8,3.7,4.0,0.8,0.4,3.0,44.4,71.7,-0.23,0.64,-0.89,-0.01,-0.67,-0.51,1.22,-0.88,-0.76
109,Naz Reid,MIN,80,27.6,14.2,6.0,2.3,0.7,0.9,2.2,46.2,77.6,-0.24,-0.53,0.01,-0.87,-0.89,0.40,0.41,-0.26,-0.16
110,Collin Sexton,UTA,63,28.0,18.4,2.7,4.2,0.7,0.1,1.7,48.0,86.5,-0.27,0.21,-1.29,0.09,-0.83,-1.12,-0.03,0.01,0.78
111,Daniel Gafford,DAL,57,21.6,12.3,6.8,1.4,0.4,1.8,0.0,70.2,68.9,-0.27,-0.88,0.33,-1.29,-1.73,2.07,-1.77,2.22,-1.14
112,Grant Williams,CHA,16,29.9,10.4,5.1,2.3,1.1,0.8,1.7,43.9,83.8,-0.28,-1.22,-0.33,-0.84,0.16,0.23,-0.09,-0.36,0.24
113,Bobby Portis,MIL,49,25.4,13.9,8.4,2.1,0.7,0.5,1.3,46.6,83.6,-0.29,-0.60,0.96,-0.94,-0.92,-0.30,-0.45,-0.21,0.12
114,Keegan Murray,SAC,76,34.3,12.4,6.7,1.4,0.8,0.9,2.0,44.4,83.3,-0.29,-0.86,0.28,-1.28,-0.69,0.41,0.25,-0.49,0.05
115,Matisse Thybulle,POR,15,20.7,7.5,3.5,1.9,2.2,0.6,1.4,47.7,46.7,-0.30,-1.74,-0.99,-1.06,2.96,-0.17,-0.38,0.06,-1.04
116,Donte DiVincenzo,MIN,62,25.9,11.7,3.7,3.6,1.2,0.3,2.8,42.2,77.8,-0.30,-0.99,-0.91,-0.19,0.29,-0.78,1.03,-0.71,-0.11
117,Jrue Holiday,BOS,62,30.6,11.1,4.3,3.9,1.1,0.4,1.7,44.3,90.9,-0.30,-1.10,-0.68,-0.08,0.00,-0.48,-0.04,-0.41,0.36
118,Jaden Ivey,DET,30,30.0,17.6,4.1,4.0,0.9,0.4,2.1,46.0,73.3,-0.30,0.07,-0.73,-0.02,-0.34,-0.61,0.32,-0.36,-0.76
119,Cason Wallace,OKC,68,27.6,8.4,3.4,2.5,1.8,0.5,1.1,47.4,81.1,-0.32,-1.58,-1.03,-0.73,1.83,-0.33,-0.69,0.02,-0.04
120,Dereck Lively,DAL,36,23.0,8.7,7.5,2.4,0.6,1.6,0.0,70.2,63.0,-0.32,-1.52,0.61,-0.82,-1.33,1.63,-1.77,1.70,-1.05
121,Keon Ellis,SAC,80,24.4,8.3,2.7,1.5,1.5,0.8,1.7,48.9,84.9,-0.32,-1.59,-1.32,-1.25,1.17,0.18,-0.04,0.16,0.11
122,De'Andre Hunter,ATL/CLE,64,27.2,17.0,4.0,1.4,0.8,0.2,2.5,47.0,84.6,-0.33,-0.04,-0.77,-1.28,-0.74,-0.92,0.67,-0.14,0.56
123,Quentin Grimes,DAL/PHI,75,26.9,14.6,4.3,3.0,1.0,0.3,2.2,46.7,75.7,-0.34,-0.47,-0.65,-0.48,-0.20,-0.75,0.38,-0.16,-0.37
124,Santi Aldama,MEM,65,25.5,12.5,6.4,2.9,0.8,0.4,1.8,48.3,69.1,-0.34,-0.85,0.17,-0.56,-0.69,-0.46,0.07,0.09,-0.51
125,Keyonte George,UTA,67,31.4,16.8,3.8,5.6,0.7,0.1,2.6,39.1,81.8,-0.35,-0.07,-0.87,0.80,-0.99,-1.05,0.82,-1.66,0.24
126,RJ Barrett,TOR,58,32.2,21.1,6.3,5.4,0.8,0.3,1.8,46.8,63.0,-0.35,0.70,0.14,0.70,-0.71,-0.75,0.07,-0.28,-2.67
127,Ayo Dosunmu,CHI,46,30.3,12.3,3.5,4.5,0.9,0.4,1.3,49.2,78.5,-0.35,-0.88,-0.98,0.25,-0.34,-0.56,-0.43,0.21,-0.11
128,Shaedon Sharpe,POR,72,31.2,18.5,4.5,2.8,0.9,0.2,2.0,45.2,78.5,-0.36,0.24,-0.58,-0.63,-0.53,-0.88,0.26,-0.59,-0.15
129,Ty Jerome,CLE,70,19.9,12.5,2.5,3.4,1.1,0.0,1.6,51.6,87.2,-0.36,-0.83,-1.39,-0.31,0.13,-1.22,-0.19,0.49,0.43
130,Bilal Coulibaly,WAS,59,33.0,12.3,5.0,3.4,1.3,0.7,1.1,42.1,74.6,-0.37,-0.87,-0.39,-0.32,0.67,0.01,-0.71,-0.81,-0.51
131,Ausar Thompson,DET,59,22.5,10.1,5.1,2.3,1.7,0.7,0.2,53.5,64.1,-0.38,-1.28,-0.33,-0.86,1.55,-0.02,-1.59,0.65,-1.16
132,Jerami Grant,POR,47,32.4,14.4,3.5,2.1,0.9,1.0,2.3,37.3,84.9,-0.39,-0.50,-0.99,-0.92,-0.50,0.54,0.52,-1.76,0.53
133,Brandin Podziemski,GSW,64,26.8,11.7,5.1,3.4,1.1,0.2,1.8,44.5,75.8,-0.39,-0.99,-0.35,-0.28,0.03,-0.92,0.02,-0.42,-0.22
134,Aaron Gordon,DEN,51,28.4,14.7,4.8,3.2,0.5,0.3,1.5,53.1,81.0,-0.39,-0.45,-0.45,-0.39,-1.60,-0.78,-0.31,0.73,0.11
135,Khris Middleton,MIL/WAS,37,22.9,11.9,3.7,4.1,0.9,0.2,1.3,47.5,85.7,-0.39,-0.95,-0.90,0.02,-0.31,-0.89,-0.48,-0.01,0.37
136,Naji Marshall,DAL,69,27.8,13.2,4.8,3.0,1.0,0.2,0.9,50.8,81.3,-0.40,-0.71,-0.48,-0.49,-0.13,-1.00,-0.91,0.45,0.07
137,Nic Claxton,BKN,70,26.9,10.3,7.4,2.2,0.9,1.4,0.1,56.3,51.3,-0.41,-1.23,0.55,-0.88,-0.47,1.39,-1.70,0.99,-1.90
138,D'Angelo Russell,BKN/LAL,58,25.5,12.6,2.8,5.1,1.0,0.4,1.9,39.0,83.4,-0.41,-0.82,-1.26,0.54,-0.26,-0.55,0.17,-1.31,0.24
139,Zach Edey,MEM,66,21.5,9.2,8.3,1.0,0.5,1.3,0.3,58.0,70.9,-0.41,-1.43,0.93,-1.50,-1.36,1.13,-1.50,0.97,-0.55
140,Scotty Pippen,MEM,79,21.3,9.9,3.3,4.4,1.3,0.4,1.1,48.0,71.3,-0.42,-1.31,-1.07,0.19,0.62,-0.58,-0.67,0.07,-0.58
141,Jose Alvarado,NOP,56,24.4,10.3,2.4,4.6,1.3,0.3,2.0,39.2,81.1,-0.42,-1.23,-1.40,0.30,0.67,-0.83,0.20,-1.07,0.00
142,Luguentz Dort,OKC,71,29.3,10.1,4.1,1.6,1.1,0.5,2.4,43.5,71.7,-0.42,-1.27,-0.73,-1.19,0.12,-0.26,0.62,-0.45,-0.21
143,Alex Caruso,OKC,54,19.3,7.1,2.9,2.5,1.6,0.6,1.1,44.6,82.4,-0.43,-1.81,-1.20,-0.73,1.42,-0.25,-0.66,-0.19,0.02
144,Robert Williams,POR,20,17.6,5.8,5.9,1.1,0.7,1.7,0.1,64.1,88.2,-0.43,-2.04,-0.03,-1.47,-1.08,1.81,-1.72,0.96,0.16
145,Alex Sarr,WAS,67,27.1,13.0,6.5,2.4,0.7,1.5,1.6,39.4,67.9,-0.43,-0.76,0.21,-0.80,-1.07,1.54,-0.21,-1.43,-0.91
146,Aaron Nesmith,IND,45,24.9,12.0,4.0,1.2,0.8,0.4,1.9,50.7,91.3,-0.43,-0.93,-0.80,-1.39,-0.75,-0.59,0.09,0.37,0.57
