,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
1,Joel Embiid,PHI,C,39,33.6,34.7,11.0,5.6,1.2,1.7,1.4,52.9,88.3,3.8,3.6,38.8,11.5,21.8,10.2,11.6,0.8,0.1,2.9,61.1
2,Luka Doncic,LAL,G,70,37.5,33.9,9.2,9.8,1.4,0.5,4.1,48.7,78.6,4.0,10.6,38.2,11.5,23.6,6.8,8.7,0.7,0.3,2.1,61.5
3,Giannis Antetokounmpo,MIL,F,73,35.2,30.4,11.5,6.5,1.2,1.1,0.5,61.1,65.7,3.4,1.7,27.4,11.5,18.8,7.0,10.7,0.8,0.1,2.9,57.4
4,Shai Gilgeous-Alexander,OKC,G,75,34.1,30.1,5.5,6.2,2.0,0.9,1.3,53.5,87.4,2.2,3.6,35.3,10.6,19.8,7.6,8.7,0.1,0.0,2.5,52.5
5,Jalen Brunson,NYK,G,77,35.4,28.7,3.6,6.7,0.9,0.2,2.7,47.9,84.7,2.4,6.8,40.1,10.3,21.4,5.5,6.5,0.1,0.0,1.9,44.0
T6,Kevin Durant,HOU,F,75,37.2,27.1,6.6,5.0,0.9,1.2,2.2,52.3,85.6,3.3,5.4,41.3,10.0,19.1,4.8,5.6,0.2,0.0,1.8,45.7
T6,Devin Booker,PHO,G,68,35.9,27.1,4.5,6.9,0.9,0.4,2.2,49.2,88.6,2.6,6.1,36.4,9.4,19.2,6.0,6.7,0.2,0.0,3.0,44.2
8,Jayson Tatum,BOS,F,74,35.7,26.9,8.1,4.9,1.0,0.6,3.1,47.1,83.3,2.5,8.2,37.6,9.1,19.3,5.6,6.7,0.3,0.0,2.0,46.2
T9,De'Aaron Fox,SAS,G,74,35.9,26.6,4.6,5.6,2.0,0.4,2.9,46.5,73.8,2.6,7.8,36.9,9.7,20.9,4.2,5.7,0.1,0.0,2.6,45.3
T9,Donovan Mitchell,CLE,G,55,35.3,26.6,5.1,6.1,1.8,0.5,3.3,46.2,86.5,2.8,9.0,36.8,9.1,19.8,5.0,5.8,0.1,0.0,2.1,46.1
T11,Nikola Jokic,DEN,C,79,34.6,26.4,12.4,9.0,1.4,0.9,1.1,58.3,81.7,3.0,2.9,35.9,10.4,17.9,4.5,5.5,0.9,0.3,2.5,58.3
T11,Stephen Curry,GSW,G,74,32.7,26.4,4.5,5.1,0.7,0.4,4.8,45.0,92.3,2.8,11.8,40.8,8.8,19.5,4.0,4.4,0.1,0.0,1.6,40.0
T13,Tyrese Maxey,PHI,G,70,37.4,25.9,3.7,6.2,1.0,0.5,3.0,45.0,86.8,1.7,8.1,37.3,9.1,20.3,4.7,5.4,0.1,0.0,2.2,42.4
T13,Anthony Edwards,MIN,G,79,35.1,25.9,5.4,5.1,1.3,0.5,2.4,46.1,83.6,3.1,6.7,35.7,9.1,19.7,5.4,6.4,0.1,0.0,1.8,42.5
T15,Trae Young,ATL,G,54,35.9,25.7,2.8,10.8,1.3,0.2,3.2,43.0,85.5,4.4,8.7,37.3,8.0,18.7,6.4,7.5,0.7,0.0,2.0,45.5
T15,LeBron James,LAL,F,71,35.3,25.7,7.3,8.3,1.3,0.5,2.1,54.0,75.0,3.5,5.1,41.0,9.6,17.9,4.3,5.7,0.4,0.1,1.1,48.8
17,Kyrie Irving,DAL,G,58,35.0,25.6,5.0,5.2,1.3,0.5,3.0,49.7,90.5,1.8,7.3,41.1,9.7,19.5,3.3,3.6,0.1,0.0,1.9,42.8
18,Ja Morant,MEM,G,9,35.3,25.1,5.6,8.1,0.8,0.6,1.6,47.1,81.3,3.0,5.7,27.5,8.9,18.9,5.8,7.1,0.3,0.0,2.1,44.9
