Round	Pick	Player	Position	Team	Duration	YTD
7	80	Herro, Tyler	G	LOLMets Support Group	1 hour 59 min 59 sec	-
7	81	Claxton, Nic	FLEX	@Danellmer27	35 min 21 sec	-
7	82	Hartenstein, Isaiah	F	Draft29	9 min 47 sec	-
7	83	Wiggins, Andrew	F	50-5	27 min 27 sec	-
7	84	Johnson, Cameron	F	@jimmytheguy	2 hour 31 min 57 sec	-
8	85	Simons, Anfernee	G	@jimmytheguy	0 sec	-
8	86	Queta, Neemias	C	50-5	41 min 12 sec	-
8	87	Ayton, Deandre	C	Draft29	26 min 13 sec	-
8	88	Ivey, Jaden	G	@Danellmer27	11 min 49 sec	-
8	89	Butler, Jimmy	F	LOLMets Support Group	2 hour	-
8	90	Ware, Kel'el	C	@kfredincali	38 min 50 sec	-
8	91	Collins, John	F	Little Donny 2	22 min 40 sec	-
8	92	Portis, Bobby	C	@KenGill	5 sec	-
8	93	Quickley, Immanuel	G	@Gamer_Gid	13 min 9 sec	-
8	94	Reid, Naz	F	@Glinn	12 min 10 sec	-
8	95	Camara, Toumani	FLEX	@Gdmets1986	17 min 6 sec	-
8	96	Powell, Norman	G	M5 - Chicago Full of Bull	7 min 46 sec	-
9	97	Porter, Kevin	FLEX	M5 - Chicago Full of Bull	3 sec	-
9	98	Castle, Stephon	G	@Gdmets1986	47 min 9 sec	-
9	99	Hart, Josh	G	@Glinn	8 min 10 sec	-
9	100	Mathurin, Bennedict	F	@Gamer_Gid	1 hour 41 min 10 sec	-
9	101	Thomas, Cam	G	@KenGill	1 hour 22 min 2 sec	-
9	102	Monk, Malik	G	Little Donny 2	17 min 31 sec	-
9	103	Suggs, Jalen	G	@kfredincali	53 min 56 sec	-
9	104	Vassell, Devin	G	LOLMets Support Group	1 hour 34 min 37 sec	-
9	105	Sharpe, Shaedon	G	@Danellmer27	5 min 51 sec	-
9	106	Murray, Keegan	F	Draft29	1 hour 1 min 37 sec	-
9	107	Beal, Bradley	G	50-5	37 min 13 sec	-
9	108	McCollum, CJ	G	@jimmytheguy	15 sec	-
10	109	Gafford, Daniel	F	@jimmytheguy	5 sec	-
10	110	Lively, Dereck	C	50-5	14 sec	-
10	111	Sheppard, Reed	G	Draft29	27 min 40 sec	-
10	112	Collier, Isaiah	FLEX	@Danellmer27	38 min 46 sec	-
10	113	Eason, Tari	FLEX	LOLMets Support Group	46 min 8 sec	-
10	114	Edey, Zach	C	@kfredincali	1 hour 30 min 1 sec	-
10	115	Barrett, RJ	FLEX	Little Donny 2	1 hour 28 min 14 sec	-
