,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Nikola Topic,OKC,G,58,13.20690,6.24138,2.63793,1.89655,0.53448,0.46552,0.98276,2.41379,5.55172,43.5,0.65517,2.05172,31.9,0.75862,1.05172,72.1,0.37931,2.25862
Obi Toppin,IND,F,80,22.50000,11.40000,4.50000,1.57500,0.46250,0.60000,1.02500,4.35000,8.32500,52.3,1.57500,4.05000,38.9,1.12500,1.43750,78.3,1.16250,3.33750
Karl-Anthony Towns,NYK,C,70,34.00000,23.42857,12.82857,3.42857,1.00000,0.78571,2.71429,8.42857,16.15714,52.2,2.07143,5.00000,41.4,4.50000,5.10000,88.2,3.40000,9.28571
Nolan Traore,BKN,G,58,14.29310,7.13793,2.72414,1.74138,0.46552,0.37931,1.20690,2.51724,5.51724,45.6,0.60345,1.72414,35.0,1.50000,1.81034,82.9,0.55172,2.17241
Gary Trent,MIL,G,69,27.79710,12.57971,2.50725,1.53623,1.11594,0.21739,0.78261,4.34783,10.26087,42.4,2.52174,6.36232,39.6,1.36232,1.66667,81.7,0.34783,2.15942
Myles Turner,MIL,C,68,30.00000,16.58824,6.60294,1.50000,0.67647,2.10294,1.64706,5.88235,12.00000,49.0,2.27941,6.00000,38.0,2.54412,3.29412,77.2,1.44118,5.16176
Hunter Tyson,DEN,F,65,11.10769,3.09231,1.84615,1.10769,0.44615,0.21538,0.33846,1.23077,2.66154,46.2,0.30769,1.00000,30.8,0.32308,0.44615,72.4,0.46154,1.38462
Jaylon Tyson,CLE,F,63,13.09524,7.34921,1.52381,2.01587,0.30159,0.07937,0.96825,2.77778,6.85714,40.5,1.03175,2.87302,35.9,0.76190,0.92063,82.8,0.22222,1.30159
Jonas Valanciunas,DEN,C,77,16.00000,8.77922,6.40260,1.59740,0.27273,0.48052,1.03896,3.53247,6.40260,55.2,0.25974,0.80519,32.3,1.45455,1.76623,82.4,1.71429,4.68831
Jarred Vanderbilt,LAL,F,65,16.00000,4.35385,5.30769,0.80000,0.84615,0.38462,0.61538,1.80000,3.07692,58.5,0.01538,0.12308,12.5,0.73846,1.10769,66.7,1.83077,3.47692
Fred VanVleet,HOU,G,5,19.00000,7.60000,2.00000,2.80000,0.80000,0.20000,0.80000,2.60000,6.60000,39.4,1.40000,4.00000,35.0,1.00000,1.20000,83.3,0.20000,1.60000
Devin Vassell,SAS,F,68,32.50000,17.91176,3.89706,2.92647,1.36765,0.48529,1.52941,6.63235,14.63235,45.3,2.79412,7.47059,37.4,1.85294,2.27941,81.3,0.55882,3.33824
Gabe Vincent,LAL,G,65,20.00000,6.93846,1.58462,2.06154,0.78462,0.15385,1.23077,2.52308,6.06154,41.6,1.30769,3.66154,35.7,0.58462,0.67692,86.4,0.27692,1.30769
Nikola Vucevic,CHI,C,71,32.09859,17.30986,9.78873,3.12676,0.77465,0.73239,1.80282,7.33803,14.90141,49.2,1.30986,3.98592,32.9,1.32394,1.60563,82.5,2.15493,7.63380
Tristan Vukcevic,WAS,C,35,15.00000,9.60000,3.91429,1.34286,0.40000,0.74286,1.05714,3.37143,6.97143,48.4,1.17143,3.22857,36.3,1.68571,2.17143,77.6,0.97143,2.91429
Dean Wade,CLE,F,60,20.00000,5.48333,3.06667,1.06667,0.60000,0.15000,0.33333,2.01667,4.43333,45.5,1.03333,2.90000,35.6,0.41667,0.61667,67.6,0.63333,2.43333
Franz Wagner,ORL,F,70,32.50000,20.97143,4.87143,3.90000,1.30000,0.35714,2.11429,7.68571,15.92857,48.3,1.42857,4.55714,31.3,4.17143,4.87143,85.6,1.15714,3.72857
Moritz Wagner,ORL,C,60,15.00000,8.71667,3.63333,1.36667,0.31667,0.20000,0.88333,3.00000,6.18333,48.5,1.06667,3.13333,34.0,1.65000,2.01667,81.8,0.65000,2.96667
Jabari Walker,PHI,F,61,13.90164,5.81967,4.83607,0.68852,0.34426,0.31148,0.45902,2.19672,4.57377,48.0,0.37705,1.18033,31.9,1.04918,1.39344,75.3,1.44262,3.37705
Jarace Walker,IND,F,70,24.50000,10.12857,4.90000,2.45714,1.10000,0.68571,1.71429,3.61429,7.84286,46.1,1.67143,4.17143,40.1,1.22857,1.71429,71.7,1.37143,3.52857
Cason Wallace,OKC,G,75,29.00000,10.44000,3.77333,2.90667,2.02667,0.69333,1.16000,4.10667,8.49333,48.4,1.50667,3.85333,39.1,0.72000,0.86667,83.1,0.77333,3.00000
Jordan Walsh,BOS,F,69,11.00000,2.89855,2.08696,0.66667,0.43478,0.28986,0.55072,1.01449,2.56522,39.5,0.47826,1.57971,30.3,0.39130,0.55072,71.1,0.62319,1.46377
Ja'Kobe Walter,TOR,G,68,15.00000,6.13235,1.73529,0.82353,0.50000,0.10294,0.82353,2.11765,5.30882,39.9,0.82353,2.48529,33.1,1.07353,1.32353,81.1,0.25000,1.48529
Kel'el Ware,MIA,C,70,27.50000,13.58571,9.62857,1.37143,0.82857,1.51429,1.10000,5.68571,10.17143,55.9,0.84286,2.47143,34.1,1.37143,1.92857,71.1,2.40000,7.21429
P.J. Washington,DAL,F,69,25.89855,11.98551,4.94203,1.81159,0.91304,0.78261,1.28986,4.42029,9.84058,44.9,1.68116,4.66667,36.0,1.46377,2.07246,70.6,1.20290,3.73913
Trendon Watford,PHI,F,60,12.10000,5.95000,2.76667,1.13333,0.35000,0.38333,0.61667,2.26667,4.25000,53.3,0.41667,1.06667,39.1,1.00000,1.31667,75.9,0.80000,1.98333
Peyton Watson,DEN,F,72,24.50000,8.43056,4.33333,1.58333,0.56944,1.25000,0.73611,3.15278,6.86111,46.0,0.65278,1.95833,33.3,1.47222,2.15278,68.4,1.30556,3.04167
Jaylen Wells,MEM,F,75,31.00000,14.41333,5.26667,2.48000,0.77333,0.18667,1.25333,5.02667,11.25333,44.7,2.29333,6.20000,37.0,2.06667,2.49333,82.9,1.14667,4.12000
Victor Wembanyama,SAS,C,70,34.00000,26.78571,11.21429,4.08571,1.27143,3.91429,3.40000,9.54286,19.38571,49.2,3.40000,9.18571,37.0,4.30000,5.10000,84.3,3.02857,8.18571
Blake Wesley,POR,G,40,10.00000,3.82500,1.10000,1.55000,0.45000,0.07500,0.87500,1.45000,3.77500,38.4,0.35000,1.10000,31.8,0.57500,0.92500,62.2,0.32500,0.77500
Coby White,CHI,G,74,34.00000,21.43243,4.08108,4.75676,0.85135,0.22973,2.37838,7.04054,15.98649,44.0,3.21622,8.50000,37.8,4.13514,4.75676,86.9,0.37838,3.70270
Derrick White,BOS,G,74,33.00000,18.60811,4.62162,5.39189,0.89189,1.00000,1.98649,6.31081,14.85135,42.5,3.21622,8.90541,36.1,2.77027,3.29730,84.0,0.67568,3.94595
Dariq Whitehead,BKN,F,40,12.00000,6.00000,1.62500,0.95000,0.30000,0.12500,0.65000,2.07500,4.80000,43.2,1.45000,3.47500,41.7,0.40000,0.60000,66.7,0.32500,1.30000
Cam Whitmore,WAS,F,68,23.29412,16.00000,4.66176,1.75000,0.92647,0.47059,1.39706,5.75000,12.80882,44.9,2.29412,6.29412,36.4,2.20588,3.02941,72.8,0.70588,3.95588
Aaron Wiggins,OKC,F,75,24.00000,12.74667,3.84000,2.04000,0.84000,0.24000,1.06667,4.84000,9.84000,49.2,1.92000,4.80000,40.0,1.14667,1.44000,79.6,1.10667,2.73333
Andrew Wiggins,MIA,F,71,30.00000,16.83099,4.18310,2.39437,0.98592,0.74648,1.64789,6.22535,13.69014,45.5,2.15493,5.70423,37.8,2.22535,3.00000,74.2,1.09859,3.08451
Brandon Williams,DAL,G,50,16.00000,9.20000,1.86000,2.36000,0.60000,0.20000,1.28000,3.22000,6.48000,49.7,0.80000,2.08000,38.5,1.96000,2.42000,81.0,0.48000,1.38000
Cody Williams,UTA,F,68,20.00000,7.60294,2.32353,1.10294,0.47059,0.42647,1.10294,2.97059,6.20588,47.9,0.64706,1.76471,36.7,1.01471,1.39706,72.6,0.33824,1.98529
Grant Williams,CHA,F,70,27.00000,9.30000,4.51429,1.78571,0.54286,0.60000,0.88571,3.18571,7.15714,44.5,1.54286,4.18571,36.9,1.38571,1.78571,77.6,1.05714,3.45714
Jalen Williams,OKC,F,70,33.00000,22.35714,5.28571,5.61429,1.65714,0.60000,2.31429,8.22857,16.50000,49.9,1.88571,4.95714,38.0,4.01429,4.95714,81.0,1.58571,3.70000
Jaylin Williams,OKC,C,61,14.00000,4.93443,4.86885,2.24590,0.42623,0.55738,0.70492,1.73770,3.91803,44.4,1.03279,2.65574,38.9,0.42623,0.55738,76.5,1.45902,3.40984
Kenrich Williams,OKC,F,42,13.09524,4.45238,2.69048,1.30952,0.54762,0.11905,0.57143,1.76190,3.88095,45.4,0.52381,1.47619,35.5,0.40476,0.66667,60.7,0.90476,1.76190
Mark Williams,PHX,C,60,28.00000,14.80000,10.36667,2.16667,0.83333,1.35000,1.53333,5.90000,9.51667,62.0,0.00000,0.00000,0.0,3.00000,3.71667,80.7,3.10000,7.25000
Patrick Williams,CHI,F,70,25.00000,8.72857,4.08571,1.65714,0.77143,0.75714,0.94286,3.21429,7.57143,42.5,1.27143,3.25714,39.0,1.02857,1.37143,75.0,1.00000,3.08571
Robert Williams,POR,C,50,15.00000,4.54000,4.96000,1.00000,0.52000,1.20000,0.60000,1.98000,3.06000,64.7,0.00000,0.00000,0.0,0.58000,0.74000,78.4,2.00000,2.94000
Vince Williams,MEM,F,60,18.00000,7.40000,3.60000,1.98333,0.53333,0.36667,1.10000,2.53333,5.76667,43.9,1.03333,3.06667,33.7,1.30000,1.61667,80.4,1.08333,2.51667
Ziaire Williams,BKN,F,60,22.00000,8.16667,2.11667,1.06667,0.83333,0.20000,0.66667,3.08333,6.93333,44.5,1.26667,3.95000,32.1,0.73333,0.90000,81.5,0.41667,1.68333
Zion Williamson,NOP,F,59,30.00000,26.38983,7.35593,5.40678,1.20339,0.89831,3.00000,10.20339,17.72881,57.6,0.10169,0.32203,31.6,5.88136,8.40678,70.0,3.13559,4.22034
Jalen Wilson,BKN,F,70,15.00000,6.64286,2.25714,1.27143,0.32857,0.11429,0.51429,2.24286,5.25714,42.7,1.02857,2.85714,36.0,1.12857,1.35714,83.2,0.55714,1.68571
James Wiseman,IND,C,55,11.80000,6.14545,4.16364,0.38182,0.12727,0.49091,0.81818,2.60000,4.78182,54.4,0.10909,0.58182,18.8,0.83636,1.14545,73.0,1.16364,3.00000
Danny Wolf,BKN,F,68,13.39706,6.48529,3.08824,2.51471,0.26471,0.35294,1.13235,2.39706,5.17647,46.3,0.51471,1.60294,32.1,1.17647,1.47059,80.0,0.61765,2.47059
Delon Wright,IND,G,60,12.00000,2.95000,1.81667,1.55000,0.76667,0.15000,0.36667,1.05000,2.31667,45.3,0.40000,1.05000,38.1,0.45000,0.51667,87.1,0.41667,1.40000
Guerschon Yabusele,NYK,F,70,18.10000,6.60000,3.61429,1.32857,0.60000,0.24286,0.72857,2.42857,4.70000,51.7,0.82857,2.17143,38.2,0.91429,1.27143,71.9,0.70000,2.91429
Trae Young,ATL,G,72,36.00000,24.70833,3.16667,10.44444,1.22222,0.09722,4.31944,7.58333,18.00000,42.1,2.98611,8.27778,36.1,6.55556,7.50000,87.4,0.55556,2.61111
Ivica Zubac,LAC,C,77,31.49351,15.02597,12.46753,2.59740,0.57143,1.36364,1.51948,6.49351,10.38961,62.5,0.00000,0.00000,0.0,2.03896,2.83117,72.0,4.28571,8.18182
