,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
23,Anthony Edwards,MIN,G,79,36.0,24.6,5.8,4.4,1.6,0.7,2.7,45.9,75.6,3.3,7.3,36.9,8.9,19.5,4.0,5.3,0.1,0.0,2.4,41.9
T24,Nikola Jokic,DEN,C,69,33.7,24.5,11.8,9.8,1.3,0.7,0.8,63.2,82.2,3.6,2.2,38.3,9.4,14.8,4.9,6.0,0.8,0.4,2.5,55.7
T24,DeMar DeRozan,SAC,F,74,36.3,24.5,4.6,5.1,1.1,0.5,0.6,50.4,87.2,2.1,1.9,32.4,8.9,17.6,6.2,7.1,0.1,0.0,2.5,40.5
26,Pascal Siakam,IND,F,71,37.3,24.2,7.8,5.8,0.9,0.5,1.3,48.0,77.4,2.4,4.0,32.4,8.9,18.5,5.2,6.7,0.3,0.0,3.2,44.3
27,Jalen Brunson,NYK,G,68,34.9,24.0,3.5,6.2,0.9,0.2,2.0,49.1,82.9,2.1,4.7,41.6,8.6,17.6,4.8,5.8,0.1,0.0,2.2,38.8
T28,Paul George,PHI,F,56,34.7,23.8,6.1,5.1,1.5,0.4,2.8,45.7,87.1,3.1,7.6,37.1,8.2,17.9,4.6,5.3,0.1,0.0,2.8,41.2
T28,Kawhi Leonard,LAC,F,52,33.6,23.8,6.5,3.9,1.4,0.5,2.0,51.2,87.1,1.7,4.8,41.6,8.6,16.8,4.7,5.4,0.1,0.0,1.6,41.6
30,LaMelo Ball,CHA,G,36,35.3,23.3,6.4,8.4,1.3,0.3,4.0,41.1,83.6,3.6,10.6,37.6,8.2,20.0,2.8,3.4,0.5,0.1,3.3,44.8
T31,Bradley Beal,LAC,G,50,33.5,23.2,3.9,5.4,0.9,0.7,1.6,50.6,84.2,2.9,4.4,36.5,8.9,17.6,3.8,4.6,0.0,0.0,2.1,37.8
T31,Kristaps Porzingis,ATL,C,65,32.6,23.2,8.4,2.7,0.9,1.5,2.1,49.8,85.1,2.1,5.5,38.5,7.8,15.7,5.4,6.4,0.3,0.0,3.0,42.4
33,Jimmy Butler,GSW,F,64,33.4,22.9,5.9,5.3,1.8,0.3,0.6,53.9,85.0,1.6,1.6,35.0,7.5,13.9,7.4,8.7,0.2,0.0,1.3,42.8
34,Jalen Green,PHO,G,76,34.2,22.1,3.7,3.7,0.8,0.2,2.5,41.6,78.6,2.6,7.3,33.8,7.4,17.9,4.8,6.1,0.0,0.0,1.7,32.6
35,Keldon Johnson,SAS,F,63,32.8,22.0,5.0,2.9,0.7,0.2,2.1,45.2,74.9,2.1,6.5,32.9,8.0,17.7,3.9,5.2,0.1,0.0,2.0,33.0
36,Klay Thompson,DAL,F,69,33.1,21.9,4.1,2.4,0.7,0.4,4.4,43.6,87.9,1.8,10.6,41.2,7.9,18.1,1.7,1.9,0.0,0.0,1.9,32.0
T37,Darius Garland,CLE,G,69,35.5,21.6,2.7,7.8,1.2,0.1,2.4,46.2,86.3,2.9,6.0,41.0,7.6,16.4,4.0,4.7,0.3,0.0,2.1,37.7
T37,Bojan Bogdanovic,FA,F,59,32.0,21.6,3.8,2.6,0.6,0.1,2.5,48.8,88.4,2.3,6.0,41.1,7.3,14.9,4.5,5.1,0.0,0.0,1.9,29.8
39,Desmond Bane,ORL,G,58,31.7,21.5,5.0,4.4,1.0,0.4,2.9,47.9,88.3,2.2,7.0,40.8,7.8,16.2,3.1,3.5,0.0,0.0,2.6,36.0
40,Kyle Kuzma,MIL,F,64,35.0,21.2,7.2,3.7,0.6,0.5,2.5,44.8,73.0,3.0,7.5,33.3,8.0,17.8,2.7,3.7,0.2,0.0,2.3,35.6
T41,Terry Rozier,MIA,G,63,35.3,21.1,4.1,5.1,1.2,0.3,2.6,41.5,80.9,2.1,8.0,32.7,7.8,18.9,2.8,3.5,0.0,0.0,1.9,35.8
T41,Anfernee Simons,BOS,G,62,35.1,21.1,2.6,4.1,0.7,0.2,3.4,44.7,89.4,2.1,9.1,37.7,7.5,16.9,2.6,2.9,0.0,0.0,2.3,30.9
43,James Harden,LAC,G,58,36.8,21.0,6.1,10.7,1.2,0.5,2.8,44.1,86.7,3.4,7.2,38.5,6.4,14.5,5.4,6.2,0.6,0.1,1.9,46.2
44,CJ McCollum,WAS,G,75,35.3,20.9,4.4,5.7,0.9,0.5,2.8,43.7,76.9,2.4,7.2,38.9,7.8,17.9,2.4,3.2,0.1,0.0,2.0,36.6
T45,Jordan Clarkson,NYK,G,61,32.6,20.8,4.0,4.4,0.5,0.2,2.5,44.4,81.6,3.0,7.5,33.8,7.5,16.9,3.3,4.0,0.0,0.0,2.0,31.5
T45,Karl-Anthony Towns,NYK,C,29,33.0,20.8,8.1,4.8,0.7,0.6,2.1,49.5,87.4,3.0,5.7,36.6,7.3,14.8,4.1,4.7,0.3,0.0,3.8,38.6
47,Tyrese Haliburton,IND,G,56,33.5,20.7,3.7,10.4,1.6,0.4,2.9,49.0,87.1,2.5,7.2,40.0,7.4,15.0,3.1,3.6,0.6,0.0,1.2,44.5
T48,Jerami Grant,POR,F,63,35.6,20.5,4.5,2.4,0.8,0.8,2.3,47.5,81.3,1.8,5.7,40.1,6.9,14.5,4.4,5.4,0.0,0.0,2.4,32.5
T48,Dejounte Murray,NOP,G,74,36.4,20.5,5.3,6.1,1.5,0.3,1.8,46.4,83.2,2.2,5.2,34.4,8.3,17.8,2.1,2.6,0.1,0.0,1.4,39.0
T50,Bam Adebayo,MIA,C,75,34.6,20.4,9.2,3.2,1.2,0.8,0.0,54.0,80.6,2.5,0.2,8.3,8.0,14.9,4.3,5.4,0.4,0.0,2.8,39.7
T50,Jordan Poole,NOP,G,82,30.0,20.4,2.7,4.5,0.8,0.3,2.6,43.0,87.0,3.1,7.8,33.6,6.7,15.6,4.4,5.1,0.0,0.0,2.6,30.5
T52,Tyrese Maxey,PHI,G,60,33.6,20.3,2.9,3.5,0.8,0.1,2.7,48.1,84.5,1.3,6.2,43.4,7.3,15.2,3.0,3.6,0.0,0.0,2.2,30.6
T52,Kelly Oubre,PHI,F,48,32.3,20.3,5.2,1.1,1.4,0.4,2.3,43.1,76.0,1.3,7.1,31.9,7.4,17.1,3.3,4.3,0.1,0.0,2.9,32.2
T54,Mikal Bridges,NYK,F,83,35.7,20.1,4.4,3.3,1.1,0.7,2.0,46.8,89.5,1.5,5.3,38.2,7.1,15.3,3.8,4.3,0.0,0.0,1.9,34.3
T54,Tyler Herro,MIA,G,67,34.9,20.1,5.4,4.2,0.8,0.2,3.0,43.9,93.4,2.4,8.0,37.8,7.3,16.6,2.5,2.7,0.1,0.0,1.5,33.5
T56,Jamal Murray,DEN,G,65,32.8,20.0,4.0,6.2,1.0,0.2,2.6,45.4,83.3,2.2,6.6,39.8,7.3,16.0,2.8,3.3,0.1,0.0,1.6,35.5
T56,Paolo Banchero,ORL,F,72,33.8,20.0,6.9,3.7,0.8,0.5,1.2,42.7,73.8,2.8,4.0,29.8,6.7,15.6,5.5,7.4,0.2,0.0,2.2,35.2
T56,Louis King,FA,F,1,29.0,20.0,4.0,2.0,1.0,0.0,4.0,61.5,0.0,2.0,8.0,50.0,8.0,13.0,0.0,1.0,0.0,0.0,4.0,28.8
59,Cade Cunningham,DET,G,12,33.3,19.9,6.2,6.0,0.8,0.6,1.4,41.5,83.7,3.3,5.1,27.9,7.8,18.7,3.0,3.6,0.3,0.0,2.8,37.3
60,RJ Barrett,TOR,F,73,33.9,19.6,5.0,2.8,0.4,0.2,1.7,43.4,74.0,2.2,5.3,31.0,7.0,16.1,4.0,5.4,0.0,0.0,2.5,29.4
T61,Jrue Holiday,POR,G,67,32.6,19.3,5.1,7.4,1.2,0.4,2.4,47.9,85.9,2.9,6.1,38.4,7.3,15.3,2.3,2.6,0.2,0.0,1.7,38.2
T61,Fred VanVleet,HOU,G,69,36.7,19.3,4.1,7.2,1.8,0.6,3.0,39.3,89.8,2.0,8.8,34.2,6.3,16.1,3.7,4.1,0.2,0.0,2.8,39.9
63,Kevin Porter,MIL,G,59,34.3,19.2,5.3,5.7,1.4,0.3,2.4,44.2,78.4,3.2,6.5,36.6,6.6,15.0,3.5,4.5,0.2,0.0,2.6,36.0
64,Domantas Sabonis,SAC,C,79,34.6,19.1,12.3,7.3,0.8,0.5,0.4,61.5,74.2,2.9,1.1,37.3,7.3,11.9,4.1,5.5,0.8,0.2,3.5,45.8
T65,Franz Wagner,ORL,F,80,32.6,18.6,4.1,3.5,1.0,0.2,1.6,48.5,84.2,2.1,4.5,36.1,6.8,14.0,3.4,4.0,0.0,0.0,2.3,30.2
T65,Jaren Jackson,MEM,F,63,28.4,18.6,6.8,1.0,1.0,3.0,1.6,50.6,78.8,1.7,4.5,35.5,6.6,13.0,3.8,4.9,0.1,0.0,3.6,38.6
67,Devin Vassell,SAS,F,38,31.1,18.5,3.9,3.6,1.1,0.4,2.7,43.9,78.0,1.5,7.0,38.7,6.9,15.7,2.1,2.6,0.0,0.0,1.5,31.8
T68,Myles Turner,MIL,C,62,29.4,18.0,7.5,1.4,0.6,2.3,1.5,54.8,78.3,1.7,4.0,37.3,6.5,11.8,3.5,4.5,0.3,0.0,3.5,36.0
T68,Deandre Ayton,LAL,C,67,30.4,18.0,10.0,1.7,0.6,0.8,0.1,58.9,76.0,1.8,0.4,29.2,7.8,13.2,2.3,3.0,0.5,0.0,2.8,34.7
70,D'Angelo Russell,DAL,G,71,32.5,17.8,3.0,6.2,1.0,0.4,2.7,46.9,82.9,2.6,6.9,39.6,6.3,13.4,2.5,3.0,0.1,0.0,2.0,32.2
71,Nikola Vucevic,CHI,C,82,33.4,17.6,11.0,3.2,0.7,0.7,1.5,52.0,83.5,1.7,4.2,34.9,7.3,14.0,1.6,1.9,0.6,0.0,2.2,38.3
T72,Michael Porter,BKN,F,62,29.0,17.4,5.5,1.0,0.6,0.5,3.0,48.7,80.0,1.1,7.3,41.4,6.4,13.2,1.5,1.9,0.0,0.0,1.9,27.7
T72,Gary Trent,MIL,G,66,32.0,17.4,2.6,1.6,1.6,0.2,2.5,43.3,83.9,0.8,6.8,36.9,6.1,14.2,2.6,3.1,0.0,0.0,1.5,27.5
74,Spencer Dinwiddie,CHA,G,79,34.5,17.3,3.4,6.5,0.8,0.3,2.3,43.8,81.2,1.8,6.2,36.9,5.8,13.3,3.4,4.2,0.1,0.0,2.4,32.8
75,Andrew Wiggins,MIA,F,37,32.1,17.1,5.0,2.3,1.2,0.8,2.4,47.3,61.1,1.3,6.1,39.6,6.8,14.3,1.2,1.9,0.1,0.0,2.9,31.2
76,Norman Powell,MIA,G,60,26.1,17.0,2.9,1.8,0.8,0.3,1.9,47.9,81.2,1.7,4.8,39.7,5.7,11.8,3.8,4.6,0.0,0.0,2.1,24.9
T77,OG Anunoby,NYK,F,67,35.6,16.8,5.0,2.0,1.9,0.7,2.1,47.6,83.8,2.0,5.5,38.7,6.3,13.2,2.1,2.5,0.0,0.0,3.0,31.7
T77,Buddy Hield,GSW,G,80,31.1,16.8,5.0,2.8,1.2,0.3,3.6,45.8,82.2,1.7,8.5,42.5,5.9,13.0,1.3,1.6,0.0,0.0,2.0,29.7
79,Bennedict Mathurin,IND,F,78,28.5,16.7,4.1,1.5,0.6,0.2,1.3,43.4,82.8,1.9,4.0,32.3,5.3,12.2,4.8,5.8,0.0,0.0,2.1,24.2
T80,Josh Giddey,CHI,G,76,31.2,16.6,7.9,6.2,0.8,0.4,1.0,48.2,73.1,2.8,3.1,32.5,7.1,14.7,1.4,1.9,0.4,0.1,1.9,36.0
T80,Christian Wood,FA,C,67,26.0,16.6,7.3,1.8,0.4,1.1,1.6,51.5,77.2,1.8,4.2,37.6,5.9,11.5,3.2,4.2,0.2,0.0,2.5,30.9
T82,Jaden Ivey,DET,G,74,31.1,16.3,3.9,5.2,0.8,0.2,1.6,41.6,74.7,3.2,4.7,34.3,5.5,13.3,3.6,4.8,0.1,0.0,3.3,28.7
T82,Aaron Gordon,DEN,F,68,30.2,16.3,6.6,3.0,0.8,0.8,0.9,56.4,60.8,1.4,2.5,34.7,6.3,11.2,2.8,4.6,0.2,0.0,1.9,31.8
84,Evan Mobley,CLE,F,79,34.4,16.2,9.0,2.8,0.8,1.5,0.3,55.4,67.4,1.8,1.3,21.6,6.6,12.0,2.6,3.8,0.3,0.0,2.8,36.2
85,RaiQuan Gray,FA,F,1,35.0,16.0,9.0,7.0,0.0,1.0,2.0,50.0,100.0,4.0,5.0,40.0,6.0,12.0,2.0,2.0,0.0,0.0,5.0,36.3
T86,Brook Lopez,LAC,C,78,30.4,15.9,6.7,1.3,0.5,2.5,1.7,53.1,78.4,1.4,4.7,37.4,6.1,11.5,1.9,2.4,0.1,0.0,2.6,33.3
T86,Russell Westbrook,FA,G,73,29.1,15.9,5.8,7.5,1.0,0.5,1.2,43.6,65.6,3.5,3.9,31.1,5.9,13.6,2.8,4.3,0.3,0.1,2.2,35.1
88,P.J. Washington,DAL,F,73,32.6,15.7,4.9,2.4,0.9,1.1,2.0,44.4,73.0,1.5,5.9,34.8,5.9,13.4,1.7,2.4,0.0,0.0,2.6,29.6
89,Cameron Johnson,DEN,F,42,28.5,15.5,4.4,1.9,1.2,0.3,2.5,47.0,84.2,0.9,6.1,40.4,5.3,11.3,2.4,2.9,0.0,0.0,2.0,27.2
90,De'Andre Hunter,CLE,F,67,31.7,15.4,4.2,1.4,0.5,0.3,1.5,46.1,82.6,1.2,4.3,35.0,5.7,12.3,2.6,3.1,0.0,0.0,3.0,23.7
T91,Skylar Mays,FA,G,6,31.5,15.3,3.2,8.3,1.0,0.2,2.0,50.0,92.3,1.7,4.3,46.2,5.7,11.3,2.0,2.2,0.2,0.0,1.8,33.5
T91,Scottie Barnes,TOR,F,77,34.8,15.3,6.6,4.8,1.1,0.8,0.8,45.6,77.2,2.0,2.9,28.1,6.0,13.2,2.5,3.2,0.2,0.0,2.2,34.1
T93,Kevin Huerter,CHI,G,75,29.4,15.2,3.3,2.9,1.1,0.3,2.7,48.5,72.5,1.3,6.8,40.2,5.6,11.5,1.3,1.7,0.0,0.0,2.4,26.5
T93,Wendell Carter,ORL,C,57,29.6,15.2,8.7,2.3,0.5,0.6,1.4,52.5,73.8,1.9,3.9,35.6,5.6,10.8,2.5,3.4,0.4,0.0,2.8,30.6
95,Khris Middleton,WAS,F,33,24.3,15.1,4.2,4.9,0.7,0.2,1.5,43.6,90.2,2.2,4.9,31.5,5.4,12.3,2.8,3.1,0.1,0.0,2.1,28.0
96,Harrison Barnes,SAS,F,82,32.4,15.0,4.5,1.6,0.7,0.1,1.6,47.3,84.7,1.0,4.3,37.4,4.6,9.6,4.3,5.0,0.0,0.0,1.3,24.1
T97,Malcolm Brogdon,NYK,G,67,26.0,14.9,4.2,3.7,0.7,0.3,2.0,48.4,87.0,1.5,4.4,44.4,5.3,10.9,2.4,2.7,0.0,0.0,1.6,26.9
T97,Immanuel Quickley,TOR,G,81,28.9,14.9,4.2,3.4,1.0,0.2,2.1,44.8,81.9,1.2,5.6,37.0,5.2,11.6,2.5,3.1,0.0,0.0,2.0,27.3
99,Alperen Sengun,HOU,C,75,28.9,14.8,9.0,3.9,0.9,0.9,0.3,55.3,71.5,2.6,0.8,33.3,5.9,10.7,2.7,3.8,0.4,0.0,3.4,34.5
T100,Gordon Hayward,FA,F,50,31.5,14.7,4.3,4.1,0.8,0.2,1.0,47.5,81.1,2.0,3.2,32.5,5.5,11.6,2.6,3.2,0.0,0.0,1.4,27.3
T100,Tobias Harris,DET,F,74,32.9,14.7,5.7,2.5,0.9,0.5,1.7,50.1,87.6,1.2,4.4,38.9,5.7,11.4,1.5,1.7,0.1,0.0,2.0,28.5
102,Trey Murphy,NOP,F,79,31.0,14.5,3.6,1.4,1.1,0.5,2.6,48.4,90.5,0.8,6.3,40.6,4.9,10.1,2.2,2.4,0.0,0.0,2.0,25.2
103,Tim Hardaway,DEN,F,71,30.3,14.4,3.5,1.8,0.7,0.2,3.0,40.1,77.0,0.8,7.7,38.5,4.8,11.9,1.8,2.3,0.0,0.0,1.7,23.1
T104,Jarrett Allen,CLE,C,68,32.7,14.3,9.8,1.7,0.8,1.2,0.0,64.4,73.3,1.4,0.1,10.0,5.9,9.2,2.4,3.3,0.5,0.0,2.3,33.2
T104,Collin Sexton,CHA,G,48,23.8,14.3,2.2,2.9,0.6,0.1,1.0,50.6,81.9,1.8,2.5,39.3,4.9,9.8,3.4,4.1,0.0,0.0,2.3,21.5
T104,Dillon Brooks,PHO,F,73,30.3,14.3,3.3,2.6,0.9,0.2,2.0,39.6,77.9,1.4,6.0,32.6,5.4,13.6,1.6,2.1,0.0,0.0,3.3,24.1
T107,Jalen Williams,OKC,F,75,30.4,14.1,4.5,3.3,1.4,0.5,1.0,52.1,81.2,1.6,2.7,35.6,5.5,10.6,2.1,2.5,0.0,0.0,2.5,28.3
T107,Jonas Valanciunas,DEN,C,79,24.9,14.1,10.2,1.8,0.3,0.7,0.5,54.7,82.6,2.0,1.4,34.9,5.6,10.3,2.3,2.8,0.5,0.0,3.1,29.7
T107,Bobby Portis,MIL,F,70,25.9,14.1,9.6,1.5,0.4,0.2,1.4,49.6,76.8,1.2,3.7,37.0,5.7,11.5,1.4,1.8,0.5,0.0,1.6,28.6
T110,Bogdan Bogdanovic,LAC,G,54,27.9,14.0,3.1,2.8,0.8,0.3,2.7,44.7,83.1,1.2,6.7,40.6,5.1,11.3,1.2,1.4,0.0,0.0,1.6,24.0
T110,Markelle Fultz,FA,G,60,29.6,14.0,3.9,5.7,1.5,0.4,0.5,51.4,78.3,2.3,1.5,31.0,5.8,11.3,1.9,2.4,0.1,0.0,2.2,30.5
112,Chris Paul,LAC,G,59,32.0,13.9,4.3,8.9,1.5,0.4,1.7,44.0,83.1,1.9,4.4,37.5,5.0,11.3,2.3,2.7,0.3,0.0,2.1,36.1
113,Saddiq Bey,NOP,F,77,27.6,13.8,4.7,1.5,0.9,0.2,2.0,42.2,86.1,0.9,5.4,36.1,4.6,10.9,2.7,3.1,0.1,0.0,1.6,24.0
114,Luguentz Dort,OKC,F,74,30.7,13.7,4.6,2.1,1.0,0.3,1.8,38.8,77.2,1.2,5.5,33.0,4.6,11.8,2.7,3.5,0.1,0.0,3.3,25.1
115,Malik Monk,SAC,G,77,22.4,13.5,2.6,3.9,0.6,0.3,1.9,44.8,88.9,1.9,5.2,35.9,4.6,10.3,2.4,2.7,0.0,0.0,1.6,23.3
116,Rudy Gobert,MIN,C,70,30.6,13.4,11.6,1.2,0.8,1.4,0.0,65.9,64.4,1.7,0.0,0.0,5.1,7.8,3.1,4.9,0.5,0.0,3.0,34.0
117,Jusuf Nurkic,UTA,C,52,26.7,13.3,9.1,2.9,0.8,0.8,0.8,51.9,66.1,2.3,2.3,36.1,5.0,9.7,2.4,3.7,0.3,0.0,3.6,31.2
118,Kris Dunn,LAC,G,22,25.8,13.2,4.5,5.6,1.1,0.5,0.8,53.7,77.4,1.6,1.6,47.2,5.3,9.8,1.9,2.4,0.1,0.0,2.6,30.3
119,John Collins,LAC,F,71,30.0,13.1,6.5,1.2,0.6,1.0,1.0,50.8,80.3,1.1,3.4,29.2,5.1,10.0,2.0,2.5,0.2,0.0,3.1,26.5
T120,Austin Reaves,LAL,G,64,28.8,13.0,3.0,3.4,0.5,0.3,1.3,52.9,86.4,1.5,3.4,39.8,4.0,7.7,3.6,4.1,0.0,0.0,1.7,22.6
T120,Cole Anthony,MIL,G,60,25.8,13.0,4.8,3.9,0.6,0.5,1.3,45.4,89.4,1.5,3.4,36.4,4.6,10.2,2.5,2.8,0.0,0.0,2.6,26.5
122,Tre Jones,CHI,G,68,29.1,12.9,3.6,6.6,1.3,0.1,0.7,45.9,86.0,1.6,2.3,28.5,5.0,10.9,2.2,2.5,0.1,0.0,1.4,29.8
T123,Alec Burks,FA,G,51,22.0,12.8,3.1,2.2,0.7,0.2,1.9,43.6,81.4,1.1,4.7,41.4,3.9,9.0,3.0,3.7,0.0,0.0,1.9,21.4
T123,Jabari Smith,HOU,F,79,31.0,12.8,7.2,1.3,0.5,0.9,1.5,40.8,78.6,1.3,4.9,30.7,4.6,11.3,2.1,2.6,0.2,0.0,2.9,26.5
T125,KJ Martin,FA,F,82,28.0,12.7,5.5,1.5,0.5,0.4,0.8,56.9,68.0,1.1,2.6,31.5,5.0,8.8,1.8,2.7,0.1,0.0,1.8,23.0
T125,Malik Beasley,FA,G,81,25.8,12.7,3.5,1.5,0.8,0.1,2.9,39.5,76.9,1.1,8.1,35.7,4.6,11.6,0.6,0.8,0.0,0.0,1.3,20.8
T127,Dennis Schroder,SAC,G,66,30.1,12.6,2.5,4.5,0.8,0.2,1.1,41.5,85.7,1.7,3.4,32.9,4.1,9.8,3.3,3.8,0.0,0.0,2.2,23.4
T127,Nic Claxton,BKN,C,76,29.8,12.6,9.2,1.9,0.9,2.5,0.0,70.5,54.1,1.3,0.0,0.0,5.4,7.7,1.8,3.2,0.4,0.0,2.8,35.3
T129,Mac McClung,FA,G,2,20.5,12.5,5.0,4.5,0.0,0.0,2.0,45.0,60.0,1.5,5.5,36.4,4.5,10.0,1.5,2.5,0.0,0.0,1.5,23.8
T129,Jakob Poeltl,TOR,C,72,26.5,12.5,9.1,2.7,0.9,1.2,0.0,62.9,59.2,1.7,0.0,0.0,5.4,8.6,1.7,2.8,0.3,0.0,2.7,32.0
T129,Kelly Olynyk,SAS,C,68,28.5,12.5,6.2,3.7,0.9,0.5,1.4,49.9,85.3,2.5,3.5,39.4,4.1,8.2,2.9,3.4,0.1,0.0,3.4,27.2
T132,Eric Gordon,PHI,G,69,28.4,12.4,1.9,2.7,0.6,0.4,1.9,44.6,82.1,1.5,5.2,37.1,4.2,9.5,2.1,2.5,0.0,0.0,1.1,20.2
T132,Derrick White,BOS,G,82,28.3,12.4,3.6,3.9,0.7,0.9,1.8,46.2,87.5,1.2,4.8,38.1,4.3,9.2,2.0,2.3,0.1,0.0,2.2,26.2
134,Keegan Murray,SAC,F,80,29.8,12.2,4.6,1.2,0.8,0.5,2.6,45.3,76.5,0.8,6.3,41.1,4.4,9.8,0.8,1.0,0.1,0.0,2.0,22.7
T135,Jaden McDaniels,MIN,F,79,30.6,12.1,3.9,1.9,0.9,1.0,1.4,51.7,73.6,1.4,3.4,39.8,4.7,9.1,1.3,1.8,0.0,0.0,3.4,23.8
T135,Caris LeVert,DET,G,74,30.2,12.1,3.8,3.9,1.0,0.3,1.7,43.1,72.2,1.6,4.4,39.2,4.3,10.0,1.8,2.4,0.0,0.0,2.3,24.8
T137,Marvin Bagley,WAS,C,42,23.5,12.0,6.4,0.9,0.5,0.7,0.5,52.9,75.0,1.1,1.6,28.8,4.8,9.1,1.9,2.6,0.2,0.0,1.9,23.4
T137,Clint Capela,HOU,C,65,26.6,12.0,11.0,0.9,0.7,1.2,0.0,65.3,60.3,0.8,0.0,0.0,5.4,8.2,1.2,2.0,0.5,0.0,2.1,31.5
139,Mike Conley,MIN,G,67,30.2,11.9,2.7,6.7,1.1,0.2,2.0,42.8,83.4,1.5,5.2,38.5,3.9,9.1,2.1,2.5,0.1,0.0,2.1,27.6
