,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
1,Joel Embiid,PHI,C,66,34.7,33.1,10.2,4.2,1.0,1.7,1.0,54.8,85.7,3.4,3.0,33.0,11.0,20.1,10.0,11.7,0.6,0.0,3.1,56.2
2,Luka Doncic,LAL,G,66,36.2,32.4,8.6,8.0,1.4,0.5,2.8,49.6,74.2,3.6,8.2,34.2,10.9,22.0,7.8,10.5,0.5,0.2,2.5,56.8
3,Damian Lillard,POR,G,58,36.4,32.2,4.8,7.3,0.9,0.3,4.2,46.3,91.4,3.3,11.3,37.1,9.6,20.7,8.8,9.6,0.3,0.0,1.9,49.1
4,Shai Gilgeous-Alexander,OKC,G,68,35.5,31.4,4.8,5.5,1.6,1.0,0.9,51.0,90.5,2.8,2.5,34.5,10.4,20.3,9.8,10.9,0.0,0.0,2.8,50.4
5,Giannis Antetokounmpo,MIL,F,63,32.2,31.1,11.8,5.7,0.8,0.8,0.7,55.3,64.5,3.9,2.7,27.5,11.2,20.3,7.9,12.3,0.7,0.1,3.1,54.8
6,Jayson Tatum,BOS,F,74,36.9,30.1,8.8,4.6,1.1,0.7,3.2,46.6,85.4,2.9,9.3,35.0,9.8,21.1,7.2,8.4,0.4,0.0,2.2,49.9
7,Stephen Curry,GSW,G,56,34.7,29.4,6.1,6.3,0.9,0.4,4.9,49.3,91.5,3.2,11.4,42.7,10.0,20.2,4.6,5.0,0.2,0.0,2.1,46.8
8,Kevin Durant,HOU,F,47,35.6,29.1,6.7,5.0,0.7,1.4,2.0,56.0,91.9,3.3,4.9,40.4,10.3,18.3,6.5,7.1,0.1,0.0,2.1,47.7
9,LeBron James,LAL,F,55,35.5,28.9,8.3,6.8,0.9,0.6,2.2,50.0,76.8,3.2,6.9,32.1,11.1,22.2,4.6,5.9,0.3,0.0,1.6,50.3
10,Donovan Mitchell,CLE,G,68,35.8,28.3,4.3,4.4,1.5,0.4,3.6,48.4,86.7,2.6,9.3,38.6,10.0,20.6,4.7,5.4,0.1,0.0,2.5,42.9
11,Devin Booker,PHO,G,53,34.6,27.8,4.5,5.5,1.0,0.3,2.1,49.4,85.5,2.7,6.0,35.1,9.9,20.1,5.8,6.8,0.1,0.0,3.0,42.7
12,Kyrie Irving,DAL,G,60,37.3,27.1,5.1,5.5,1.1,0.8,3.1,49.4,90.5,2.1,8.3,37.9,9.9,20.1,4.1,4.6,0.1,0.0,2.8,44.8
13,Jaylen Brown,BOS,F,67,36.0,26.6,6.9,3.5,1.1,0.4,2.4,49.1,76.5,2.9,7.3,33.5,10.1,20.6,3.9,5.1,0.2,0.0,2.6,41.6
T14,Trae Young,ATL,G,73,34.8,26.2,3.0,10.2,1.1,0.1,2.1,42.9,88.6,4.1,6.3,33.5,8.2,19.0,7.8,8.8,0.5,0.0,1.4,44.6
T14,Ja Morant,MEM,G,61,32.0,26.2,5.9,8.1,1.1,0.3,1.5,46.6,74.8,3.4,4.9,30.7,9.3,19.9,6.1,8.1,0.3,0.1,1.6,46.0
16,Zion Williamson,NOP,F,29,33.0,26.0,7.0,4.6,1.1,0.6,0.2,60.8,71.4,3.4,0.7,36.8,9.8,16.2,6.1,8.6,0.2,0.0,2.2,42.8
17,Anthony Davis,DAL,C,56,34.0,25.9,12.5,2.6,1.1,2.0,0.3,56.3,78.4,2.2,1.3,25.7,9.7,17.2,6.2,7.9,0.7,0.0,2.6,52.0
18,Lauri Markkanen,UTA,F,66,34.4,25.6,8.6,1.9,0.6,0.6,3.0,49.9,87.5,1.9,7.7,39.1,8.7,17.3,5.3,6.0,0.4,0.0,2.1,40.5
19,Julius Randle,MIN,F,77,35.6,25.1,10.0,4.1,0.6,0.3,2.8,45.9,75.7,2.8,8.3,34.3,8.5,18.6,5.2,6.9,0.5,0.0,3.0,43.2
20,De'Aaron Fox,SAS,G,73,33.4,25.0,4.2,6.1,1.1,0.3,1.6,51.2,78.0,2.5,5.0,32.4,9.3,18.2,4.7,6.0,0.2,0.0,2.4,41.1
21,Zach LaVine,SAC,F,77,35.9,24.8,4.5,4.2,0.9,0.2,2.6,48.5,84.8,2.5,7.1,37.5,8.7,18.0,4.7,5.6,0.0,0.0,2.1,37.5
22,Brandon Ingram,TOR,F,45,34.2,24.7,5.5,5.8,0.7,0.4,1.4,48.4,88.2,3.3,3.6,39.0,9.0,18.6,5.3,6.0,0.1,0.0,2.6,40.1
