,,,,,,,,,,,,,,,
Rank,Name,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Status,Injury
55,Jordan Poole,NOR,G,72,30.0,18.5,3.0,4.2,1.2,0.3,2.9,42.5,88.7,,
56,Tyler Herro,MIA,G,52,34.0,22.8,5.1,5.4,0.8,0.1,3.2,45.6,88.2,,Ankle
57,Franz Wagner,ORL,F,70,32.5,21.0,4.9,3.9,1.3,0.4,1.4,48.3,85.6,,Rest
58,Miles Bridges,CHR,F,68,33.5,19.3,7.0,3.4,0.9,0.7,2.0,46.2,82.9,,
59,OG Anunoby,NY,F,67,34.9,17.4,4.7,2.1,1.6,0.9,2.3,48.3,79.9,,
60,Reed Sheppard,HOU,G,71,27.0,13.1,3.3,3.9,1.5,0.8,2.7,42.1,82.3,,Rest
61,Zach LaVine,SAC,F,69,34.0,21.4,3.7,3.9,0.7,0.3,2.8,48.0,84.5,,
62,Brandon Ingram,TOR,F,63,33.0,19.5,5.0,4.6,0.8,0.7,1.7,47.5,84.3,,
63,Cam Thomas,BRO,G,65,31.0,22.9,3.7,4.3,0.7,0.2,2.7,42.7,86.1,,
64,Kevin Porter,MIL,G,68,31.5,15.1,4.7,6.0,1.3,0.4,1.9,43.2,74.9,,
65,Andrew Nembhard,IND,G,68,32.9,14.7,3.8,6.8,1.4,0.2,1.3,46.3,81.1,,
66,Santi Aldama,MEM,F,70,29.0,15.1,7.3,3.8,0.9,0.6,2.2,48.0,69.4,,
67,Shaedon Sharpe,POR,G,70,34.4,22.0,5.0,3.4,1.0,0.3,2.5,45.4,77.9,,
68,Lauri Markkanen,UTA,F,65,31.9,20.6,6.4,1.8,0.8,0.5,3.0,44.9,87.0,,Wrist
69,Devin Vassell,SAN,F,68,32.5,17.9,3.9,2.9,1.4,0.5,2.8,45.3,81.3,,Ankle
70,Myles Turner,MIL,C,68,30.0,16.6,6.6,1.5,0.7,2.1,2.3,49.0,77.2,,
71,Jimmy Butler,GS,F,61,31.0,16.9,5.3,5.4,1.4,0.3,0.7,49.8,84.1,,
72,Brandin Podziemski,GS,G,70,30.0,14.4,6.0,4.2,1.4,0.3,2.3,45.2,77.0,,
73,Walker Kessler,UTA,C,68,30.0,11.2,12.0,1.8,0.7,2.7,0.0,69.4,54.2,,Shoulder
74,Mikal Bridges,NY,F,82,35.0,16.7,3.1,3.5,1.0,0.5,2.0,49.4,80.9,,
75,Michael Porter,BRO,F,67,32.0,18.1,7.0,2.7,0.6,0.6,2.6,46.8,79.8,,
76,Keegan Murray,SAC,F,78,34.0,14.3,6.6,1.7,0.9,0.8,2.4,45.9,82.9,,
77,Julius Randle,MIN,F,70,32.5,18.5,7.2,4.6,0.7,0.3,1.6,46.5,78.0,,Rest
78,Ausar Thompson,DET,F,68,29.0,13.8,6.7,3.0,2.0,0.9,0.5,52.8,65.8,,
79,CJ McCollum,WAS,G,68,30.0,18.2,3.6,4.2,0.8,0.4,3.1,44.6,76.9,,
80,Anfernee Simons,BOS,G,68,32.5,19.4,2.9,4.7,0.6,0.1,3.2,42.8,89.3,,
81,T.J. McConnell,IND,G,72,24.9,13.3,3.4,7.0,1.4,0.3,0.4,52.4,78.6,,
