"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Miles Bridges","CHA","SF,PF","20.0","7.1","3.6","0.6","0.7",".437",".858","2.3","75","34.1","2.1"
"Jimmy Butler III","GSW","PF,SF,SG","19.9","5.9","5.6","0.4","1.6",".499",".843","0.8","73","32.9","1.6"
"RJ Barrett","TOR","PF,SF,SG","19.7","5.7","4.3","0.3","0.7",".459",".676","1.6","74","32.5","2.6"
"Trey Murphy III","NOR","PF,SF,SG","19.5","4.7","2.9","0.7","1.1",".453",".877","3.2","74","36.8","1.5"
"Norman Powell","MIA","SG,SF DTD","19.3","3.1","2.0","0.2","1.1",".472",".809","2.8","75","31.6","1.6"
"Desmond Bane","ORL","SG,SF","19.3","5.7","4.8","0.4","1.2",".476",".891","2.3","74","33.1","2.4"
"Jordan Poole","NOR","PG,SG","19.2","2.7","4.3","0.3","1.1",".424",".873","2.6","77","30.8","2.7"
"Paul George","PHI","SG,SF,PF DTD","19.1","5.1","3.9","0.5","1.7",".443",".869","2.7","68","33.4","2.4"
"Shaedon Sharpe","POR","SG,SF","19.0","4.9","2.7","0.3","0.9",".446",".782","2.3","75","33.5","2.1"
"Dejounte Murray","NOR","PG,SG OUT","19.0","5.3","6.4","0.3","1.6",".440",".817","2.0","42","35.0","2.7"
"Bam Adebayo","MIA","C,PF","18.8","10.0","4.4","0.8","1.3",".501",".773","0.7","77","35.0","2.3"
"Coby White","CHI","PG,SG","18.6","3.8","4.6","0.2","0.8",".446",".880","2.8","77","33.8","2.2"
"Cooper Flagg","DAL","PF,SF","18.6","6.6","3.8","1.0","1.2",".481",".808","1.6","76","31.8","2.2"
"Domantas Sabonis","SAC","C,PF","18.5","13.2","6.5","0.5","0.8",".587",".735","0.6","76","34.8","3.0"
"Brandon Miller","CHA","PF,SF,SG DTD","18.4","4.2","2.8","0.7","0.9",".418",".845","3.1","71","33.0","2.2"
"Austin Reaves","LAL","PG,SF,SG","18.1","4.2","5.4","0.3","0.9",".475",".871","2.3","76","34.8","2.3"
"Mikal Bridges","NYK","PF,SF,SG","18.1","3.6","3.5","0.5","1.0",".486",".837","2.1","80","36.8","1.6"
"Nikola Vucevic","CHI","C","18.0","10.2","3.5","0.7","0.8",".510",".816","1.6","77","32.7","1.7"
"Michael Porter Jr.","BKN","SF,PF","17.8","6.6","2.0","0.6","0.7",".464",".785","2.8","77","33.4","1.3"
"Scottie Barnes","TOR","SG,SF,PF DTD","17.7","7.5","5.5","1.0","1.3",".455",".765","1.1","75","34.0","2.6"
"CJ McCollum","WAS","PG,SG","17.7","3.6","4.0","0.5","0.7",".433",".756","2.9","73","29.7","1.7"
"Evan Mobley","CLE","PF,C","17.3","9.5","3.1","1.5","0.9",".554",".715","0.9","75","31.8","2.0"
