"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Chris Paul","LAC","PG","7.2","2.8","5.4","0.2","1.0",".445",".880","1.2","76","21.9","1.2"
"Luke Kennard","ATL","PG,SG DTD","7.2","2.3","2.4","0.1","0.6",".473",".903","1.5","73","18.3","0.8"
"Davion Mitchell","MIA","PG","7.2","1.9","4.0","0.2","0.8",".458",".704","1.1","76","23.6","1.3"
"Brandon Clarke","MEM","PF,C OUT","7.1","4.5","0.9","0.5","0.6",".612",".702","0.0","71","16.9","0.6"
"Isaiah Stewart","DET","C,PF DTD","7.0","5.7","1.5","1.1","0.4",".522",".753","0.6","74","21.6","1.0"
"Taurean Prince","MIL","PF,SF","6.9","2.7","1.5","0.2","0.7",".452",".803","1.4","78","22.9","0.8"
"Ryan Dunn","PHO","SF,PF","6.9","3.6","0.8","0.5","0.6",".425",".489","1.1","77","19.9","0.5"
"Alex Caruso","OKC","PG,SG,SF","6.9","2.9","2.5","0.6","1.5",".455",".801","1.2","73","19.8","0.8"
"Derrick Jones Jr.","LAC","SF,PF","6.8","2.4","0.6","0.4","0.6",".514",".709","0.7","77","17.4","0.6"
"Anthony Black","ORL","PG,SG,SF","6.8","2.4","2.1","0.5","0.8",".428",".734","0.6","77","19.3","1.2"
"Caleb Martin","DAL","SG,SF,PF","6.7","3.3","1.6","0.4","0.7",".436",".707","0.8","49","20.9","0.9"
"Dorian Finney-Smith","HOU","PF,SF","6.7","3.6","1.1","0.4","0.7",".433",".705","1.4","71","23.4","0.7"
"Lonzo Ball","CLE","PG,SG DTD","6.7","3.0","2.9","0.4","1.2",".373",".818","1.6","65","20.1","1.0"
"Tristan da Silva","ORL","SF,PF","6.4","3.1","1.4","0.3","0.4",".420",".882","1.0","77","20.0","0.7"
"Trayce Jackson-Davis","GSW","PF,C G-League","6.4","4.6","1.4","0.7","0.4",".617",".567","0.0","73","14.8","0.7"
"Larry Nance Jr.","CLE","PF,C OUT","6.3","4.6","1.6","0.4","0.8",".563",".723","0.7","69","18.4","0.6"
"Andre Drummond","PHI","C","6.0","6.4","0.5","0.4","0.8",".530",".591","0.0","73","14.5","1.0"
"Jarace Walker","IND","PF,SF G-League","5.9","3.0","1.6","0.4","0.7",".450",".675","1.0","76","16.0","1.0"
"Adem Bona","PHI","C G-League","5.8","4.1","0.4","1.2","0.5",".697",".675","0.0","70","16.0","1.0"
"Robert Williams III","POR","C","5.7","5.6","1.0","1.2","0.6",".676",".776","0.0","69","16.9","0.8"
"Jonathan Mogbo","TOR","C,PF","5.5","4.3","2.0","0.5","0.8",".450",".733","0.2","73","18.5","1.0"
"Kyle Anderson","UTH","SF,PF","5.4","3.2","2.8","0.5","0.6",".471",".729","0.3","73","18.0","0.8"
"Precious Achiuwa","FA","PF,C G-League","5.4","4.3","0.8","0.5","0.5",".500",".620","0.3","44","16.2","0.7"
"Goga Bitadze","ORL","C","5.2","5.0","1.4","1.1","0.6",".589",".635","0.0","72","16.0","0.8"
"Mitchell Robinson","NYK","C","5.1","6.4","0.7","1.2","0.9",".649",".515","0.0","72","20.2","0.6"
"Mouhamed Gueye","ATL","PF,C","5.1","3.8","0.7","0.9","0.7",".415",".752","0.5","72","13.7","0.4"
"Jaxson Hayes","LAL","C","4.8","3.4","0.7","0.6","0.4",".688",".633","0.0","71","14.1","0.6"
"Jonathan Isaac","ORL","C,PF,SF","4.7","3.9","0.5","1.0","0.8",".436",".688","0.5","74","13.5","0.4"
"Luke Kornet","SAS","C","4.7","3.6","1.1","0.7","0.3",".667",".758","0.0","75","14.5","0.3"
"Mason Plumlee","CHA","C","4.6","5.3","1.6","0.5","0.4",".619",".655","0.0","75","16.5","0.8"
"Jaylin Williams","OKC","PF,C","4.3","3.8","1.7","0.4","0.4",".463",".753","0.9","46","12.4","0.5"
"Kevon Looney","NOR","C","4.3","5.3","1.4","0.4","0.5",".552",".600","0.0","77","14.9","0.4"
"Moussa Diabate","CHA","PF,C DTD","4.2","4.4","0.6","0.5","0.5",".578",".598","0.0","73","14.0","0.7"
"Dante Exum","DAL","PG,SG","3.6","1.2","1.4","0.0","0.3",".255",".385","0.4","39","9.9","0.5"
"Marvin Bagley III","WAS","PF,C","3.1","1.9","0.3","0.2","0.2",".270",".370","0.1","39","6.9","0.3"
"Noah Clowney","BKN","C,PF DTD","2.8","1.3","0.4","0.2","0.2",".195",".400","0.4","39","7.9","0.3"
"Vince Williams Jr.","MEM","PF,PG,SF,SG G-League","2.7","1.7","0.9","0.1","0.3",".225",".400","0.4","39","7.9","0.5"
"Gary Payton II","FA","SF,SG","2.4","1.3","0.5","0.1","0.4",".285",".345","0.2","39","6.8","0.3"
"Ben Sheppard","IND","SG,SF","2.4","1.2","0.6","0.1","0.3",".205",".440","0.5","39","8.4","0.2"
"Kenrich Williams","OKC","SF,PF","2.2","1.4","0.5","0.0","0.3",".240",".280","0.3","39","6.3","0.2"
"Steven Adams","HOU","C","2.2","2.8","0.5","0.2","0.2",".295",".210","0.0","39","7.4","0.5"
"Torrey Craig","FA","SF,PF","2.1","1.6","0.4","0.3","0.2",".210",".370","0.4","14","5.7","0.2"
"Jarred Vanderbilt","LAL","C,PF G-League","2.1","2.0","0.6","0.1","0.4",".260",".335","0.1","39","7.9","0.4"
"Thomas Bryant","FA","C","2.0","1.1","0.2","0.2","0.2",".315",".400","0.2","14","4.3","0.1"
"Dean Wade","CLE","SF,PF","2.0","1.6","0.4","0.2","0.3",".200",".325","0.5","39","8.0","0.2"
"Drew Eubanks","SAC","C","1.9","1.6","0.3","0.3","0.2",".295",".350","0.0","39","6.3","0.3"
"Kevin Love","UTH","PF,C OUT","1.8","1.5","0.4","0.0","0.1",".200",".415","0.3","14","4.3","0.3"
"Bol Bol","FA","PF,C","1.8","1.1","0.2","0.3","0.1",".275",".385","0.1","14","4.3","0.2"
"Maxi Kleber","LAL","PF,C DTD","1.4","1.1","0.5","0.2","0.1",".220",".360","0.2","39","7.9","0.3"
"Jeremiah Robinson-Earl","FA","PF,C","1.4","0.9","0.3","0.0","0.1",".240",".400","0.1","14","4.3","0.1"
"Paul Reed","DET","C,PF","1.3","1.2","0.3","0.2","0.2",".265",".370","0.0","14","4.3","0.2"
"Oso Ighodaro","PHO","C,PF","1.2","1.0","0.3","0.1","0.1",".300",".290","0.0","14","4.3","0.1"
"Xavier Tillman Sr.","BOS","PF,C G-League","1.1","1.4","0.4","0.3","0.3",".195",".265","0.0","14","4.3","0.2"
"Charles Bassey","FA","C G-League","1.1","1.1","0.3","0.3","0.1",".400",".315","0.0","14","2.9","0.2"
"Jericho Sims","MIL","C","0.9","1.3","0.2","0.2","0.1",".355",".340","0.0","39","5.3","0.2"
"DeAndre Jordan","FA","C","0.9","1.2","0.2","0.2","0.1",".380",".225","0.0","14","2.9","0.2"
""
""
