,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
31,James Harden,LAC,G,79,35.3,22.8,5.8,8.7,1.5,0.7,3.0,41.0,87.4,4.3,8.5,35.2,6.7,16.4,6.4,7.3,0.5,0.0,2.1,45.0
T32,Jaylen Brown,BOS,F,63,34.3,22.2,5.8,4.5,1.2,0.3,1.8,46.3,76.4,2.6,5.7,32.4,8.2,17.7,3.9,5.1,0.1,0.0,2.4,37.8
T32,DeMar DeRozan,SAC,F,77,35.9,22.2,3.9,4.4,0.8,0.4,1.1,47.7,85.7,1.4,3.3,32.8,8.1,17.0,4.9,5.7,0.0,0.0,1.9,35.8
T32,Jaren Jackson,MEM,F,74,29.8,22.2,5.6,2.0,1.2,1.5,2.0,48.8,78.1,2.1,5.3,37.5,8.0,16.4,4.2,5.4,0.1,0.0,3.5,38.2
T32,Brandon Ingram,TOR,F,18,32.9,22.2,5.6,5.2,0.9,0.6,2.4,46.5,85.5,3.8,6.4,37.4,8.6,18.5,2.6,3.1,0.0,0.0,2.5,37.3
36,Norman Powell,MIA,G,60,32.7,21.8,3.2,2.1,1.2,0.2,3.0,48.4,80.4,1.8,7.1,41.8,7.6,15.8,3.6,4.4,0.0,0.0,1.9,31.0
37,Jalen Williams,OKC,F,69,32.4,21.6,5.3,5.1,1.6,0.7,1.8,48.4,78.9,2.2,4.9,36.5,8.2,16.9,3.4,4.3,0.0,0.0,2.3,40.4
38,Kawhi Leonard,LAC,F,37,31.8,21.5,5.9,3.1,1.6,0.5,2.1,49.8,81.0,1.9,5.1,41.1,8.4,16.8,2.6,3.3,0.1,0.0,1.5,37.5
39,Jamal Murray,DEN,G,67,36.1,21.4,3.9,6.0,1.4,0.5,2.3,47.4,88.6,2.1,5.9,39.3,7.9,16.7,3.3,3.7,0.1,0.0,1.9,38.6
40,Trey Murphy,NOP,F,53,35.0,21.2,5.1,3.5,1.1,0.7,3.0,45.4,88.7,1.9,8.3,36.1,7.2,15.8,3.8,4.3,0.0,0.0,2.1,36.0
41,RJ Barrett,TOR,F,58,32.2,21.1,6.3,5.4,0.8,0.3,1.8,46.8,63.0,2.9,5.3,35.0,7.9,16.9,3.4,5.4,0.2,0.0,2.4,37.2
T42,Brandon Miller,CHA,F,27,34.3,21.0,4.9,3.6,1.1,0.7,3.9,40.3,86.1,2.8,10.9,35.5,7.3,18.2,2.5,2.9,0.1,0.0,2.7,34.9
T42,Jalen Green,PHO,G,82,32.9,21.0,4.6,3.4,0.9,0.3,2.9,42.3,81.3,2.5,8.1,35.4,7.4,17.5,3.3,4.1,0.0,0.0,1.5,32.8
44,CJ McCollum,WAS,G,57,32.1,20.8,3.7,4.0,0.8,0.4,3.0,44.4,71.7,1.9,8.1,37.3,7.8,17.5,2.2,3.0,0.0,0.0,2.2,33.0
45,Darius Garland,CLE,G,75,30.7,20.6,2.9,6.7,1.2,0.1,2.8,47.2,87.8,2.5,7.1,40.1,7.4,15.7,3.0,3.4,0.1,0.0,1.9,35.7
46,Jordan Poole,NOP,G,68,29.4,20.5,3.0,4.5,1.3,0.4,3.5,43.2,88.3,3.0,9.1,37.8,6.7,15.5,3.6,4.0,0.0,0.0,3.0,32.7
47,Coby White,CHI,G,74,33.1,20.4,3.7,4.5,0.9,0.2,2.9,45.3,90.2,2.4,7.9,37.0,6.9,15.1,3.7,4.1,0.0,0.0,2.1,32.6
48,Miles Bridges,CHA,F,64,31.7,20.3,7.5,3.9,0.7,0.7,2.2,43.1,87.0,2.1,7.0,31.3,7.3,17.0,3.5,4.0,0.2,0.0,1.5,37.2
T49,Pascal Siakam,IND,F,78,32.7,20.2,6.9,3.4,0.9,0.5,1.6,51.9,73.4,1.4,4.2,38.9,7.9,15.2,2.9,3.9,0.2,0.0,2.4,36.5
T49,Austin Reaves,LAL,G,73,34.9,20.2,4.5,5.8,1.1,0.3,2.7,46.0,87.7,2.4,7.3,37.7,6.5,14.2,4.4,5.0,0.1,0.0,2.1,36.1
51,Kristaps Porzingis,ATL,C,42,28.7,19.5,6.8,2.1,0.7,1.5,2.5,48.3,80.9,1.3,6.0,41.2,6.6,13.7,3.8,4.7,0.1,0.0,2.8,36.2
T52,Scottie Barnes,TOR,F,65,32.9,19.3,7.7,5.8,1.4,1.0,1.2,44.6,75.5,2.8,4.3,27.1,7.3,16.4,3.5,4.6,0.4,0.0,1.7,41.6
