,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
158,Paul George,PHI,41,1335,665,219,178,75,20,96,43.0,81.4,-0.51,-1.10,-0.95,-0.57,0.16,-0.72,-0.34,-0.58,0.05
159,RJ Barrett,TOR,58,1867,1223,366,314,46,17,107,46.8,63.0,-0.51,0.30,-0.12,0.36,-0.95,-0.82,-0.19,-0.26,-2.39
160,Matas Buzelis,CHI,80,1514,688,278,79,29,75,96,45.4,81.5,-0.51,-1.04,-0.62,-1.24,-1.61,0.97,-0.34,-0.27,0.06
161,Justin Champagnie,WAS,62,1339,544,351,60,65,39,74,51.1,68.5,-0.51,-1.41,-0.20,-1.37,-0.22,-0.14,-0.65,0.33,-0.43
162,Zaccharie Risacher,ATL,75,1844,942,268,92,52,37,122,45.8,71.1,-0.51,-0.41,-0.67,-1.16,-0.72,-0.20,0.02,-0.35,-0.61
163,Wendell Carter,ORL,68,1759,618,492,134,52,41,37,46.0,73.7,-0.51,-1.22,0.59,-0.87,-0.72,-0.08,-1.17,-0.16,-0.49
164,Rui Hachimura,LAL,59,1865,775,295,84,45,26,102,50.9,77.0,-0.52,-0.83,-0.52,-1.21,-0.99,-0.54,-0.26,0.39,-0.17
165,Luke Kornet,BOS,73,1363,441,388,117,36,71,0,66.8,69.1,-0.52,-1.66,0.00,-0.99,-1.34,0.85,-1.69,1.21,-0.52
166,Ochai Agbaji,TOR,64,1741,667,242,98,58,30,101,49.8,70.8,-0.53,-1.10,-0.82,-1.11,-0.49,-0.42,-0.27,0.25,-0.26
167,Grayson Allen,PHX,64,1543,680,194,137,54,19,149,44.8,81.6,-0.53,-1.06,-1.09,-0.85,-0.65,-0.76,0.40,-0.29,0.08
168,D'Angelo Russell,BKN/LAL,58,1479,732,162,296,56,23,113,39.0,83.4,-0.53,-0.93,-1.27,0.23,-0.57,-0.63,-0.10,-1.20,0.25
169,Kawhi Leonard,LAC,37,1178,796,219,116,59,17,78,49.8,81.0,-0.53,-0.77,-0.95,-0.99,-0.45,-0.82,-0.59,0.27,0.05
170,Isaiah Joe,OKC,74,1605,756,196,119,48,9,192,44.0,82.1,-0.54,-0.87,-1.08,-0.97,-0.88,-1.06,1.01,-0.46,0.01
171,Paolo Banchero,ORL,46,1581,1191,345,219,36,28,87,45.2,72.7,-0.54,0.22,-0.24,-0.29,-1.34,-0.48,-0.47,-0.55,-1.18
172,Duncan Robinson,MIA,74,1786,817,167,176,40,6,190,43.7,88.7,-0.54,-0.72,-1.24,-0.58,-1.18,-1.16,0.98,-0.58,0.17
173,Brice Sensabaugh,UTA,71,1434,772,210,110,46,8,157,45.9,89.0,-0.54,-0.83,-1.00,-1.03,-0.95,-1.09,0.52,-0.23,0.28
174,Kevin Huerter,CHI/SAC,69,1679,681,205,156,66,23,132,42.5,71.4,-0.55,-1.06,-1.03,-0.72,-0.18,-0.63,0.16,-0.67,-0.25
175,Peyton Watson,DEN,68,1657,551,233,94,48,93,48,47.7,69.3,-0.55,-1.39,-0.87,-1.14,-0.88,1.53,-1.01,0.03,-0.69
176,Haywood Highsmith,MIA,74,1818,478,252,112,68,37,89,45.9,72.1,-0.55,-1.57,-0.76,-1.02,-0.11,-0.20,-0.44,-0.12,-0.21
177,Kyle Filipowski,UTA,72,1518,690,440,140,48,22,77,50.2,65.0,-0.55,-1.04,0.30,-0.83,-0.88,-0.66,-0.61,0.29,-1.00
178,Isaiah Collier,UTA,71,1835,615,235,446,66,16,42,42.2,68.2,-0.56,-1.23,-0.86,1.26,-0.18,-0.85,-1.10,-0.66,-0.85
179,Moses Moody,GSW,74,1650,724,189,96,59,31,126,43.3,79.7,-0.56,-0.95,-1.12,-1.13,-0.45,-0.38,0.08,-0.53,-0.02
180,Ziaire Williams,BKN,63,1544,632,287,84,62,29,103,41.2,82.1,-0.57,-1.18,-0.57,-1.21,-0.34,-0.45,-0.24,-0.72,0.12
181,Jose Alvarado,NOP,56,1366,579,136,259,74,14,111,39.2,81.1,-0.58,-1.32,-1.42,-0.02,0.12,-0.91,-0.13,-0.95,0.01
182,Lauri Markkanen,UTA,47,1475,892,278,70,33,17,138,42.3,87.6,-0.58,-0.53,-0.62,-1.31,-1.45,-0.82,0.25,-0.84,0.69
183,Luke Kennard,MEM,65,1471,576,183,215,50,5,113,47.8,89.5,-0.58,-1.33,-1.15,-0.32,-0.80,-1.19,-0.10,0.04,0.21
184,Georges Niang,ATL/CLE,79,1696,784,272,111,28,14,166,46.1,79.3,-0.58,-0.80,-0.65,-1.03,-1.65,-0.91,0.64,-0.22,-0.06
185,Alex Caruso,OKC,54,1040,382,159,137,87,30,60,44.6,82.4,-0.59,-1.81,-1.29,-0.85,0.62,-0.42,-0.84,-0.16,0.01
186,Bobby Portis,MIL,49,1243,680,411,104,35,26,65,46.6,83.6,-0.59,-1.06,0.13,-1.07,-1.38,-0.54,-0.77,-0.15,0.09
187,Jaylen Wells,MEM,79,2045,823,268,135,44,8,138,42.5,82.2,-0.59,-0.71,-0.67,-0.86,-1.03,-1.09,0.25,-0.78,0.14
188,Jabari Smith,HOU,57,1715,698,399,60,25,41,98,43.8,82.5,-0.60,-1.02,0.07,-1.37,-1.76,-0.08,-0.31,-0.47,0.15
189,Miles McBride,NYK,64,1597,611,161,187,67,17,115,40.6,81.3,-0.61,-1.24,-1.28,-0.51,-0.15,-0.82,-0.07,-0.83,0.00
190,Dorian Finney-Smith,BKN/LAL,63,1819,549,247,90,58,23,129,44.8,66.7,-0.62,-1.39,-0.79,-1.17,-0.49,-0.63,0.12,-0.24,-0.33
191,Brandon Clarke,MEM,64,1209,534,326,66,52,36,1,62.1,70.1,-0.62,-1.43,-0.35,-1.33,-0.72,-0.23,-1.67,1.22,-0.43
192,Aaron Gordon,DEN,51,1447,748,247,164,23,14,75,53.1,81.0,-0.63,-0.89,-0.79,-0.67,-1.84,-0.91,-0.63,0.60,0.11
193,Jonathan Isaac,ORL,71,1090,380,314,40,61,80,39,41.4,68.2,-0.64,-1.82,-0.41,-1.51,-0.38,1.13,-1.14,-0.39,-0.61
194,Jeremy Sochan,SAS,54,1362,617,352,128,45,27,28,53.5,69.6,-0.64,-1.22,-0.20,-0.91,-0.99,-0.51,-1.29,0.61,-0.62
195,Tim Hardaway,DET,77,2152,844,183,123,38,7,168,40.6,85.5,-0.64,-0.65,-1.15,-0.94,-1.26,-1.13,0.67,-1.06,0.39
196,Cole Anthony,ORL,67,1233,630,204,191,45,32,77,42.4,82.3,-0.65,-1.19,-1.04,-0.48,-0.99,-0.35,-0.61,-0.62,0.11
197,Sam Hauser,BOS,71,1539,605,224,64,41,13,166,45.1,100.0,-0.65,-1.25,-0.92,-1.35,-1.15,-0.94,0.64,-0.24,0.04
198,Deandre Ayton,POR,40,1210,576,406,64,31,39,6,56.6,66.7,-0.67,-1.33,0.11,-1.35,-1.53,-0.14,-1.60,0.92,-0.42
199,Jaime Jaquez,MIA,66,1372,570,290,166,61,14,37,46.1,75.4,-0.68,-1.34,-0.55,-0.65,-0.38,-0.91,-1.17,-0.14,-0.31
200,Nick Richards,CHA/PHX,57,1256,529,466,49,14,55,0,59.1,74.4,-0.68,-1.44,0.45,-1.45,-2.18,0.36,-1.69,0.90,-0.41
201,Jake LaRavia,MEM/SAC,66,1349,458,259,158,62,23,60,47.5,67.8,-0.69,-1.62,-0.72,-0.71,-0.34,-0.63,-0.84,0.03,-0.67
202,Gradey Dick,TOR,54,1591,777,193,98,48,10,114,41.0,85.8,-0.69,-0.82,-1.10,-1.11,-0.88,-1.03,-0.09,-0.95,0.44
203,Jerami Grant,POR,47,1524,677,163,101,41,46,108,37.3,84.9,-0.69,-1.07,-1.27,-1.09,-1.15,0.08,-0.17,-1.29,0.41
204,Ayo Dosunmu,CHI,46,1393,566,161,208,43,18,62,49.2,78.5,-0.70,-1.35,-1.28,-0.37,-1.07,-0.79,-0.82,0.17,-0.09
205,Jalen Wilson,BKN,79,2029,749,271,145,40,5,122,39.7,81.8,-0.70,-0.89,-0.66,-0.79,-1.18,-1.19,0.02,-1.08,0.16
206,Jalen Suggs,ORL,35,1004,567,141,129,51,33,76,41.0,88.2,-0.70,-1.35,-1.39,-0.90,-0.76,-0.32,-0.62,-0.68,0.41
207,Amir Coffey,LAC,72,1744,696,161,77,40,7,101,47.1,89.1,-0.71,-1.02,-1.28,-1.26,-1.18,-1.13,-0.27,-0.06,0.56
208,Sam Merrill,CLE,71,1406,509,157,108,53,14,137,40.6,96.6,-0.71,-1.49,-1.30,-1.05,-0.68,-0.91,0.23,-0.62,0.17
209,Dejounte Murray,NOP,31,1012,542,200,228,63,12,52,39.3,82.3,-0.71,-1.41,-1.06,-0.23,-0.30,-0.97,-0.96,-0.88,0.13
210,Mason Plumlee,PHX,74,1298,333,455,134,33,47,0,61.9,64.8,-0.71,-1.93,0.38,-0.87,-1.45,0.11,-1.69,0.69,-0.92
211,Josh Green,CHA,68,1889,506,172,108,74,15,97,42.8,68.1,-0.71,-1.50,-1.22,-1.05,0.12,-0.88,-0.33,-0.42,-0.44
212,Jamal Shead,TOR,75,1464,533,115,316,58,10,72,40.5,76.8,-0.71,-1.43,-1.54,0.37,-0.49,-1.03,-0.68,-0.77,-0.14
213,Jalen Smith,CHI,64,966,524,357,65,17,44,72,46.6,80.9,-0.72,-1.46,-0.17,-1.34,-2.07,0.02,-0.68,-0.07,0.01
214,Nicolas Batum,LAC,78,1361,313,218,84,52,36,88,43.7,81.0,-0.72,-1.98,-0.96,-1.21,-0.72,-0.23,-0.45,-0.14,-0.05
215,Clint Capela,ATL,55,1182,488,469,62,34,53,0,55.9,53.6,-0.72,-1.55,0.46,-1.36,-1.41,0.29,-1.69,0.73,-1.23
216,Day'Ron Sharpe,BKN,50,904,397,330,91,41,42,11,52.1,75.7,-0.73,-1.77,-0.32,-1.16,-1.15,-0.05,-1.53,0.35,-0.18
217,Jarace Walker,IND,75,1189,461,229,110,54,25,75,47.2,66.7,-0.73,-1.61,-0.89,-1.03,-0.65,-0.57,-0.63,0.00,-0.47
218,Chet Holmgren,OKC,32,878,479,257,63,23,71,44,49.0,75.4,-0.73,-1.57,-0.74,-1.35,-1.84,0.85,-1.07,0.14,-0.29
219,Jonathan Mogbo,TOR,63,1287,389,311,146,55,34,17,43.8,73.2,-0.74,-1.79,-0.43,-0.79,-0.61,-0.29,-1.45,-0.26,-0.29
220,Patrick Williams,CHI,63,1574,566,237,124,48,32,96,39.7,72.3,-0.74,-1.35,-0.85,-0.94,-0.88,-0.35,-0.34,-0.87,-0.33
221,Kyle Kuzma,MIL/WAS,65,1936,964,370,152,36,19,96,43.6,63.4,-0.75,-0.35,-0.10,-0.75,-1.34,-0.76,-0.34,-0.79,-1.55
222,Moussa Diabate,CHA,71,1242,403,438,56,46,40,0,59.6,59.5,-0.75,-1.76,0.29,-1.40,-0.95,-0.11,-1.69,0.78,-1.13
223,Corey Kispert,WAS,61,1601,705,181,103,26,14,120,45.1,85.2,-0.75,-1.00,-1.17,-1.08,-1.72,-0.91,0.00,-0.31,0.19
224,Aaron Nesmith,IND,45,1121,541,178,54,35,17,84,50.7,91.3,-0.75,-1.41,-1.18,-1.41,-1.38,-0.82,-0.51,0.28,0.40
225,AJ Green,MIL,73,1661,541,174,108,37,7,155,42.9,81.5,-0.76,-1.41,-1.21,-1.05,-1.30,-1.13,0.49,-0.41,-0.04
226,Bogdan Bogdanovic,ATL/LAC,54,1346,583,159,146,41,11,105,42.7,87.9,-0.76,-1.31,-1.29,-0.79,-1.15,-1.00,-0.21,-0.52,0.21
227,Jusuf Nurkic,CHA/PHX,51,1062,453,398,115,40,34,32,47.7,66.4,-0.76,-1.63,0.06,-1.00,-1.18,-0.29,-1.24,0.05,-0.82
228,Zach Collins,CHI/SAS,64,981,407,288,111,29,29,32,50.7,88.5,-0.76,-1.75,-0.56,-1.03,-1.61,-0.45,-1.24,0.25,0.28
229,Kevon Looney,GSW,76,1145,344,462,118,46,37,2,51.4,56.6,-0.76,-1.91,0.42,-0.98,-0.95,-0.20,-1.66,0.28,-1.12
230,Terry Rozier,MIA,64,1655,679,238,167,37,14,91,39.1,85.2,-0.76,-1.07,-0.84,-0.64,-1.30,-0.91,-0.41,-1.19,0.25
231,Vit Krejci,ATL,57,1153,412,156,147,36,26,90,49.7,71.1,-0.77,-1.74,-1.31,-0.78,-1.34,-0.54,-0.42,0.18,-0.24
232,Thomas Bryant,IND/MIA,66,964,429,251,53,28,41,48,50.8,85.9,-0.78,-1.69,-0.77,-1.42,-1.65,-0.08,-1.01,0.26,0.14
233,Ben Simmons,BKN/LAC,51,1118,256,241,285,38,23,0,52.0,72.7,-0.78,-2.13,-0.83,0.16,-1.26,-0.63,-1.69,0.28,-0.17
234,Max Strus,CLE,50,1273,471,217,158,26,12,113,44.2,82.4,-0.79,-1.59,-0.96,-0.71,-1.72,-0.97,-0.10,-0.24,-0.02
235,Terance Mann,ATL/LAC,67,1412,517,199,121,47,15,60,49.6,69.1,-0.79,-1.47,-1.06,-0.96,-0.92,-0.88,-0.84,0.20,-0.39
236,Ryan Dunn,PHX,74,1406,511,267,57,44,40,82,43.0,48.7,-0.79,-1.49,-0.68,-1.39,-1.03,-0.11,-0.54,-0.47,-0.63
237,Jared Butler,PHI/WAS,60,1044,541,110,220,42,13,60,44.8,82.4,-0.79,-1.41,-1.57,-0.28,-1.11,-0.94,-0.84,-0.26,0.08
238,Trey Lyles,SAC,69,1349,451,316,82,41,23,81,42.0,70.0,-0.80,-1.64,-0.40,-1.22,-1.15,-0.63,-0.55,-0.42,-0.41
239,Nikola Jovic,MIA,46,1157,494,180,131,38,13,78,45.5,82.8,-0.80,-1.53,-1.17,-0.89,-1.26,-0.94,-0.59,-0.14,0.09
240,Cameron Payne,NYK,72,1087,500,104,203,39,16,93,40.1,90.7,-0.81,-1.52,-1.60,-0.40,-1.22,-0.85,-0.38,-0.70,0.23
241,Jaxson Hayes,LAL,56,1094,383,269,58,31,51,0,72.2,62.2,-0.81,-1.81,-0.67,-1.39,-1.53,0.23,-1.69,1.25,-0.84
242,Dalton Knecht,LAL,78,1492,706,216,66,24,8,128,46.1,76.2,-0.81,-1.00,-0.97,-1.33,-1.80,-1.09,0.11,-0.18,-0.18
243,Javonte Green,CLE/NOP,68,1256,347,218,56,65,31,46,42.9,72.4,-0.81,-1.90,-0.96,-1.40,-0.22,-0.38,-1.04,-0.24,-0.31
244,Gary Payton,GSW,62,923,400,185,83,52,17,31,57.4,71.1,-0.81,-1.77,-1.14,-1.22,-0.72,-0.82,-1.25,0.68,-0.21
245,Tristan da Silva,ORL,74,1631,533,245,113,33,18,80,41.2,87.3,-0.82,-1.43,-0.80,-1.01,-1.45,-0.79,-0.56,-0.66,0.18
246,Johnny Juzang,UTA,64,1266,571,184,68,39,8,118,42.9,84.9,-0.82,-1.34,-1.15,-1.32,-1.22,-1.09,-0.03,-0.47,0.08
247,Cody Martin,CHA/PHX,53,1173,358,224,105,56,32,43,41.8,70.5,-0.82,-1.87,-0.92,-1.07,-0.57,-0.35,-1.08,-0.36,-0.31
248,Adem Bona,PHI,58,909,337,245,27,26,69,0,70.3,67.0,-0.82,-1.92,-0.80,-1.60,-1.72,0.79,-1.69,1.01,-0.63
249,Kenrich Williams,OKC,69,1131,436,241,97,43,10,66,48.3,71.8,-0.83,-1.68,-0.83,-1.12,-1.07,-1.03,-0.76,0.09,-0.20
250,Precious Achiuwa,NYK,57,1168,379,317,55,47,42,10,50.2,59.4,-0.83,-1.82,-0.40,-1.41,-0.92,-0.05,-1.55,0.22,-0.71
251,Zion Williamson,NOP,30,856,737,216,159,37,27,3,56.7,65.6,-0.83,-0.92,-0.97,-0.70,-1.30,-0.51,-1.64,1.00,-1.58
252,Jeremiah Robinson-Earl,NOP,66,1241,418,315,88,39,7,56,45.5,83.6,-0.83,-1.72,-0.41,-1.18,-1.22,-1.13,-0.90,-0.12,0.05
253,Jay Huff,MEM,64,750,439,129,38,16,56,81,51.5,78.6,-0.84,-1.67,-1.46,-1.52,-2.11,0.39,-0.55,0.30,-0.08
254,Julian Strawther,DEN,65,1385,588,142,83,39,16,94,43.2,82.2,-0.84,-1.30,-1.39,-1.22,-1.22,-0.85,-0.37,-0.45,0.07
255,Dereck Lively,DAL,36,829,314,270,85,20,56,0,70.2,63.0,-0.84,-1.98,-0.66,-1.20,-1.95,0.39,-1.69,1.00,-0.62
256,Ronald Holland,DET,81,1268,522,218,82,49,17,36,47.4,75.4,-0.84,-1.46,-0.96,-1.22,-0.84,-0.82,-1.18,0.00,-0.27
257,Kyle Anderson,GSW/MIA,61,1004,357,206,145,40,33,25,46.9,73.8,-0.85,-1.87,-1.02,-0.79,-1.18,-0.32,-1.34,0.00,-0.23
258,Tyrese Martin,BKN,60,1311,523,219,122,34,9,99,40.6,79.3,-0.86,-1.46,-0.95,-0.95,-1.41,-1.06,-0.30,-0.69,-0.06
259,Dalano Banton,POR,67,1121,559,135,160,43,34,72,39.1,72.8,-0.86,-1.37,-1.43,-0.69,-1.07,-0.29,-0.68,-0.93,-0.43
260,Chris Boucher,TOR,50,864,502,224,33,24,25,70,49.2,78.2,-0.88,-1.51,-0.92,-1.56,-1.80,-0.57,-0.70,0.16,-0.10
261,Immanuel Quickley,TOR,33,915,564,117,191,23,4,85,42.0,86.7,-0.88,-1.36,-1.53,-0.48,-1.84,-1.22,-0.49,-0.51,0.41
262,Brandon Miller,CHA,27,925,568,131,98,29,20,104,40.3,86.1,-0.88,-1.35,-1.45,-1.11,-1.61,-0.72,-0.23,-0.76,0.20
263,Gabe Vincent,LAL,72,1525,460,92,98,51,13,109,40.0,71.4,-0.88,-1.62,-1.67,-1.11,-0.76,-0.94,-0.16,-0.67,-0.15
264,Khris Middleton,MIL/WAS,37,846,440,137,150,35,8,48,47.5,85.7,-0.89,-1.67,-1.41,-0.76,-1.38,-1.09,-1.01,0.03,0.20
265,Jaylin Williams,OKC,47,784,278,262,120,22,29,61,43.9,76.7,-0.89,-2.07,-0.71,-0.96,-1.88,-0.45,-0.83,-0.11,-0.11
266,Kelly Olynyk,NOP/TOR,44,891,384,206,128,33,19,33,50.0,76.9,-0.89,-1.81,-1.02,-0.91,-1.45,-0.76,-1.22,0.19,-0.17
267,Dean Wade,CLE,59,1255,320,249,76,42,20,80,41.3,53.3,-0.89,-1.97,-0.78,-1.26,-1.11,-0.72,-0.56,-0.31,-0.44
268,Justin Edwards,PHI,44,1150,445,148,69,45,16,69,45.5,69.6,-0.91,-1.65,-1.35,-1.31,-0.99,-0.85,-0.72,-0.14,-0.28
269,Tre Jones,CHI/SAS,46,903,330,116,192,37,10,19,53.8,82.1,-0.91,-1.94,-1.53,-0.47,-1.30,-1.03,-1.42,0.38,0.03
270,Karlo Matkovic,NOP,42,788,325,209,46,22,41,21,57.4,77.3,-0.92,-1.95,-1.01,-1.47,-1.88,-0.08,-1.39,0.56,-0.11
271,Trayce Jackson-Davis,GSW,63,967,407,311,104,23,38,0,57.6,57.8,-0.92,-1.75,-0.43,-1.07,-1.84,-0.17,-1.69,0.70,-1.09
272,Brandon Boston,NOP,42,994,448,134,92,53,9,49,43.6,78.8,-0.92,-1.65,-1.43,-1.16,-0.68,-1.06,-1.00,-0.30,-0.07
273,Ryan Rollins,MIL,56,817,349,108,104,42,17,49,48.7,80.0,-0.93,-1.89,-1.58,-1.07,-1.11,-0.82,-1.00,0.12,-0.05
274,Jordan Hawkins,NOP,56,1323,604,158,66,30,23,110,37.2,81.6,-0.93,-1.26,-1.30,-1.33,-1.57,-0.63,-0.14,-1.25,0.06
275,Neemias Queta,BOS,62,863,310,236,45,18,42,0,65.0,75.4,-0.93,-1.99,-0.85,-1.48,-2.03,-0.05,-1.69,0.83,-0.17
276,Jordan Clarkson,UTA,37,964,600,118,138,31,9,84,40.8,79.7,-0.93,-1.27,-1.52,-0.84,-1.53,-1.06,-0.51,-0.72,-0.01
277,Ben Sheppard,IND,63,1231,332,177,85,38,14,68,41.8,88.9,-0.94,-1.94,-1.19,-1.20,-1.26,-0.91,-0.73,-0.31,0.05
278,Simone Fontecchio,DET,75,1239,446,215,65,31,12,76,40.2,83.3,-0.94,-1.65,-0.97,-1.34,-1.53,-0.97,-0.62,-0.56,0.11
279,Ja'Kobe Walter,TOR,52,1103,449,160,81,43,10,65,40.5,79.5,-0.96,-1.64,-1.28,-1.23,-1.07,-1.03,-0.77,-0.58,-0.05
280,Jonathan Kuminga,GSW,47,1143,719,217,104,38,21,46,45.4,66.8,-0.96,-0.97,-0.96,-1.07,-1.26,-0.69,-1.04,-0.28,-1.41
281,Lonzo Ball,CHI,35,775,267,119,115,46,17,67,36.6,81.5,-0.96,-2.10,-1.52,-1.00,-0.95,-0.82,-0.75,-0.52,-0.04
282,Ricky Council,PHI,73,1254,532,214,97,32,13,55,38.2,80.4,-0.97,-1.44,-0.98,-1.12,-1.49,-0.94,-0.92,-0.92,0.04
283,Julian Phillips,CHI,79,1125,366,169,39,38,20,50,44.6,78.9,-0.97,-1.85,-1.23,-1.52,-1.26,-0.72,-0.99,-0.14,-0.07
284,Nick Smith,CHA,60,1368,591,128,145,17,6,104,39.1,93.5,-0.98,-1.29,-1.47,-0.79,-2.07,-1.16,-0.23,-1.05,0.24
285,Seth Curry,CHA,68,1059,444,113,60,27,7,83,47.8,84.6,-0.98,-1.66,-1.55,-1.37,-1.68,-1.13,-0.52,0.05,0.03
286,Jaden Ivey,DET,30,900,528,124,119,28,11,63,46.0,73.3,-0.98,-1.45,-1.49,-0.97,-1.65,-1.00,-0.80,-0.12,-0.38
287,Marcus Sasser,DET,57,809,375,69,133,37,4,58,46.3,84.3,-0.98,-1.83,-1.80,-0.88,-1.30,-1.22,-0.87,-0.04,0.06
288,Sandro Mamukelashvili,SAS,61,681,385,187,48,22,17,60,50.2,74.1,-0.99,-1.80,-1.13,-1.46,-1.88,-0.82,-0.84,0.21,-0.20
289,Joel Embiid,PHI,19,574,452,155,85,14,18,23,44.4,88.2,-1.00,-1.64,-1.31,-1.20,-2.18,-0.79,-1.36,-0.17,0.68
290,Jamison Battle,TOR,59,1038,419,158,53,17,10,105,42.9,88.9,-1.01,-1.72,-1.30,-1.42,-2.07,-1.03,-0.21,-0.31,0.01
291,Cam Thomas,BKN,25,781,599,83,94,15,2,68,43.8,88.1,-1.01,-1.27,-1.72,-1.14,-2.15,-1.28,-0.73,-0.35,0.59
292,Cam Whitmore,HOU,51,828,477,151,49,31,13,65,44.4,75.0,-1.01,-1.57,-1.34,-1.45,-1.53,-0.94,-0.77,-0.25,-0.20
293,Dalen Terry,CHI,73,986,326,124,97,44,15,37,44.8,71.0,-1.01,-1.95,-1.49,-1.12,-1.03,-0.88,-1.17,-0.11,-0.33
294,Caleb Martin,DAL/PHI,45,1218,356,177,95,46,23,37,42.4,62.2,-1.01,-1.88,-1.19,-1.14,-0.95,-0.63,-1.17,-0.29,-0.84
295,Trendon Watford,BKN,44,911,450,160,115,27,12,29,46.9,76.2,-1.01,-1.64,-1.28,-1.00,-1.68,-0.97,-1.28,-0.02,-0.22
296,Oso Ighodaro,PHX,61,1042,255,222,71,28,29,0,60.4,58.0,-1.02,-2.13,-0.93,-1.30,-1.65,-0.45,-1.69,0.59,-0.57
297,Noah Clowney,BKN,46,1045,420,181,40,24,21,87,35.8,83.8,-1.02,-1.72,-1.17,-1.51,-1.80,-0.69,-0.47,-0.92,0.11
298,Isaac Okoro,CLE,55,1055,337,130,68,32,16,56,46.4,71.7,-1.02,-1.92,-1.45,-1.32,-1.49,-0.85,-0.90,-0.01,-0.23
299,Andre Drummond,PHI,40,748,293,310,34,39,18,3,50.0,62.2,-1.03,-2.03,-0.44,-1.55,-1.22,-0.79,-1.64,0.18,-0.78
300,Alec Burks,MIA,49,864,356,124,55,28,7,88,42.4,77.6,-1.04,-1.88,-1.49,-1.41,-1.65,-1.13,-0.45,-0.25,-0.10
301,Drew Eubanks,LAC/UTA,61,743,280,226,54,12,39,3,59.3,66.2,-1.05,-2.07,-0.91,-1.41,-2.26,-0.14,-1.64,0.56,-0.50
302,Josh Okogie,CHA/PHX,40,627,283,113,33,48,19,32,44.3,74.1,-1.05,-2.06,-1.55,-1.56,-0.88,-0.76,-1.24,-0.08,-0.26
303,Garrison Mathews,ATL,47,832,353,87,60,26,15,85,39.7,82.1,-1.05,-1.88,-1.70,-1.37,-1.72,-0.88,-0.49,-0.38,0.05
304,Quinten Post,GSW,42,686,340,148,56,16,18,73,44.9,77.8,-1.05,-1.92,-1.35,-1.40,-2.11,-0.79,-0.66,-0.11,-0.09
305,Bruce Brown,NOP/TOR,41,920,340,164,84,34,10,27,42.1,81.5,-1.06,-1.92,-1.26,-1.21,-1.41,-1.03,-1.31,-0.32,0.01
306,DaQuan Jeffries,CHA,47,1069,315,135,53,26,25,55,40.5,80.0,-1.06,-1.98,-1.43,-1.42,-1.72,-0.57,-0.92,-0.39,-0.06
307,Andre Jackson,MIL,67,977,230,182,83,34,14,30,47.7,50.0,-1.06,-2.19,-1.16,-1.22,-1.41,-0.91,-1.27,0.07,-0.40
308,Jabari Walker,POR,60,749,313,211,37,33,6,28,51.5,69.0,-1.07,-1.98,-1.00,-1.53,-1.45,-1.16,-1.29,0.26,-0.40
309,Paul Reed,DET,45,438,184,123,44,39,25,8,50.7,76.2,-1.08,-2.31,-1.49,-1.48,-1.22,-0.57,-1.57,0.18,-0.13
310,Tidjane Salaun,CHA,60,1245,353,280,74,29,14,58,33.0,71.3,-1.08,-1.88,-0.61,-1.28,-1.61,-0.91,-0.87,-1.05,-0.41
311,Moritz Wagner,ORL,30,563,386,148,42,24,12,27,56.2,71.8,-1.08,-1.80,-1.35,-1.50,-1.80,-0.97,-1.31,0.52,-0.44
312,Brandon Ingram,NOP,18,593,400,100,93,16,11,43,46.5,85.5,-1.08,-1.77,-1.62,-1.15,-2.11,-1.00,-1.08,-0.04,0.10
313,Jaden Hardy,DAL,57,906,496,89,81,28,5,76,43.5,69.8,-1.09,-1.53,-1.69,-1.23,-1.65,-1.19,-0.62,-0.35,-0.44
314,Marcus Smart,MEM/WAS,34,679,305,72,109,39,9,49,39.3,76.1,-1.09,-2.00,-1.78,-1.04,-1.22,-1.06,-1.00,-0.40,-0.17
315,Aaron Holiday,HOU,62,793,340,78,83,19,11,72,43.7,82.9,-1.09,-1.92,-1.75,-1.22,-1.99,-1.00,-0.68,-0.17,0.01
316,Orlando Robinson,SAC/TOR,44,771,303,220,77,17,16,17,44.4,77.1,-1.10,-2.01,-0.95,-1.26,-2.07,-0.85,-1.45,-0.12,-0.13
317,Mouhamed Gueye,ATL,33,532,197,139,27,28,33,21,42.1,76.2,-1.11,-2.28,-1.40,-1.60,-1.65,-0.32,-1.39,-0.13,-0.13
318,KJ Martin,PHI/UTA,43,908,274,125,48,17,22,15,55.2,78.7,-1.11,-2.08,-1.48,-1.46,-2.07,-0.66,-1.48,0.40,-0.08
319,Shake Milton,BKN/LAL,57,833,315,104,102,25,4,38,45.3,79.7,-1.12,-1.98,-1.60,-1.09,-1.76,-1.22,-1.15,-0.07,-0.05
320,Richaun Holmes,WAS,31,534,230,177,42,9,23,0,64.7,83.3,-1.12,-2.19,-1.19,-1.50,-2.38,-0.63,-1.69,0.59,0.05
321,Gui Santos,GSW,56,762,227,172,80,25,10,34,45.8,69.0,-1.12,-2.20,-1.22,-1.24,-1.76,-1.03,-1.21,0.00,-0.27
322,Tristan Vukcevic,WAS,35,512,330,130,39,11,23,38,49.6,77.6,-1.12,-1.94,-1.45,-1.52,-2.30,-0.63,-1.15,0.16,-0.11
