,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
34,Ja Morant,MEM,7,32.4,28.4,4.3,6.3,1.1,0.1,3.1,48.1,75.0,0.27,2.05,-0.58,1.05,0.23,-0.95,1.28,-0.46,-0.50
35,Mark Williams,CHA,11,28.6,14.1,10.6,3.1,0.8,1.3,0.0,63.2,87.5,0.27,-0.49,1.89,-0.39,-0.48,1.30,-1.70,1.55,0.45
36,Donovan Mitchell,CLE,11,32.5,22.6,5.6,6.3,1.5,0.5,2.3,40.1,84.1,0.25,1.03,-0.05,1.04,0.91,-0.33,0.46,-2.10,1.03
37,Myles Turner,IND,14,28.2,15.7,6.9,1.2,0.4,2.6,2.2,50.3,76.8,0.25,-0.20,0.42,-1.24,-1.33,4.03,0.40,0.13,-0.23
38,Bam Adebayo,MIA,14,33.3,20.6,7.9,4.1,1.1,0.7,1.9,47.6,80.7,0.25,0.67,0.84,0.08,0.23,0.19,0.13,-0.39,0.22
39,Quentin Grimes,DAL/PHI,13,34.8,24.8,5.2,5.5,1.5,0.2,3.4,44.0,75.3,0.22,1.40,-0.24,0.71,1.09,-0.93,1.51,-1.23,-0.53
40,Derrick White,BOS,12,34.1,15.1,5.3,6.7,0.9,1.0,3.3,42.7,79.2,0.21,-0.31,-0.20,1.22,-0.27,0.75,1.46,-0.93,-0.07
41,Evan Mobley,CLE,12,31.8,18.2,9.0,3.6,0.9,1.8,1.7,50.9,64.2,0.20,0.23,1.26,-0.17,-0.27,2.25,-0.12,0.22,-1.79
42,Rudy Gobert,MIN,14,33.8,15.9,13.0,1.4,1.0,1.3,0.0,70.9,65.2,0.19,-0.16,2.81,-1.14,-0.08,1.32,-1.70,2.27,-1.77
43,Kristaps Porzingis,BOS,10,28.5,21.2,6.7,2.5,0.4,1.2,2.6,51.1,80.0,0.19,0.77,0.36,-0.66,-1.39,1.15,0.77,0.24,0.25
44,Michael Porter,DEN,13,33.9,17.8,7.5,2.3,0.9,0.8,2.5,49.4,85.7,0.16,0.16,0.69,-0.74,-0.25,0.30,0.71,-0.02,0.46
45,Paolo Banchero,ORL,12,35.4,28.1,8.6,5.0,0.7,0.3,1.9,45.9,77.7,0.16,1.99,1.09,0.47,-0.81,-0.57,0.12,-0.97,-0.06
46,Franz Wagner,ORL,12,33.9,23.3,6.4,4.8,0.8,0.2,1.8,45.7,93.9,0.15,1.13,0.25,0.39,-0.45,-0.90,-0.04,-0.91,1.73
47,Cameron Johnson,BKN,7,30.1,18.3,5.1,6.1,0.6,0.3,1.9,45.7,96.9,0.14,0.25,-0.24,0.99,-1.02,-0.67,0.06,-0.58,2.34
48,Jamal Murray,DEN,7,33.7,21.3,5.0,5.6,1.0,0.3,2.0,47.9,87.5,0.14,0.79,-0.30,0.73,-0.08,-0.67,0.20,-0.35,0.81
49,Josh Hart,NYK,15,36.5,10.3,8.8,7.0,2.0,0.3,1.0,45.5,66.7,0.14,-1.16,1.18,1.37,2.10,-0.57,-0.75,-0.37,-0.71
50,Devin Booker,PHX,14,36.4,25.0,4.1,7.7,0.3,0.1,1.4,47.5,91.9,0.13,1.45,-0.66,1.69,-1.64,-0.95,-0.35,-0.53,2.00
51,Bobby Portis,MIL,3,28.0,16.3,9.3,0.7,1.3,0.3,1.7,50.0,100.0,0.12,-0.09,1.39,-1.48,0.64,-0.57,-0.12,0.08,1.10
52,Damian Lillard,MIL,3,34.7,20.0,4.7,4.7,0.7,0.3,3.3,38.1,90.0,0.11,0.56,-0.43,0.32,-0.81,-0.57,1.46,-1.85,2.21
53,Jalen Williams,OKC,8,31.1,24.0,4.5,4.0,1.3,0.3,1.6,52.6,77.8,0.10,1.27,-0.49,0.02,0.46,-0.74,-0.16,0.56,-0.09
54,Isaiah Hartenstein,OKC,12,26.8,11.6,9.3,3.7,1.0,1.4,0.0,61.4,68.2,0.08,-0.94,1.35,-0.13,-0.08,1.58,-1.70,1.20,-0.64
55,Anthony Davis,DAL/LAL,8,29.3,19.3,9.4,4.1,0.6,2.1,0.6,44.8,69.0,0.07,0.43,1.40,0.08,-0.90,3.00,-1.11,-0.95,-1.38
56,Darius Garland,CLE,13,32.1,18.6,4.2,6.9,1.2,0.1,2.4,45.0,85.3,0.06,0.31,-0.63,1.34,0.42,-1.08,0.56,-0.82,0.41
57,Devin Vassell,SAS,14,32.2,17.3,4.7,2.6,1.4,0.4,3.2,46.1,80.8,0.04,0.08,-0.41,-0.59,0.85,-0.38,1.35,-0.55,0.00
58,Brandin Podziemski,GSW,14,31.9,17.2,5.9,3.5,1.1,0.1,3.4,48.9,76.2,0.02,0.06,0.03,-0.21,0.23,-1.09,1.49,-0.09,-0.22
59,Andrew Wiggins,GSW/MIA,7,28.3,18.6,3.7,3.6,1.3,0.9,2.3,51.6,69.2,0.01,0.30,-0.80,-0.17,0.54,0.47,0.47,0.32,-1.01
60,Christian Braun,DEN,13,35.9,16.2,5.8,3.6,1.0,0.2,1.3,63.2,83.3,0.01,-0.12,0.00,-0.15,-0.08,-0.93,-0.46,1.64,0.22
61,Shaedon Sharpe,POR,13,34.8,23.3,6.3,3.3,1.4,0.2,2.4,46.1,74.2,0.01,1.15,0.21,-0.29,0.76,-0.93,0.56,-0.79,-0.58
62,Draymond Green,GSW,16,29.9,8.5,6.0,4.9,1.8,1.2,1.3,40.0,72.7,0.01,-1.48,0.09,0.44,1.55,1.13,-0.52,-0.80,-0.35
63,Jaren Jackson,MEM,14,31.9,20.5,4.9,1.6,1.0,1.0,2.3,45.3,83.3,0.00,0.65,-0.33,-1.08,-0.08,0.75,0.47,-0.85,0.48
64,Immanuel Quickley,TOR,7,25.9,16.4,3.9,7.0,1.1,0.1,2.9,39.8,89.5,0.00,-0.08,-0.75,1.37,0.23,-0.95,1.01,-1.58,0.75
65,Aaron Gordon,DEN,12,33.2,19.6,4.9,3.8,0.4,0.3,1.8,56.8,82.8,-0.03,0.48,-0.33,-0.06,-1.36,-0.57,-0.04,1.04,0.57
66,Toumani Camara,POR,13,32.3,14.8,5.3,2.6,1.5,0.6,2.8,47.7,60.0,-0.04,-0.37,-0.18,-0.61,1.09,-0.01,0.93,-0.23,-0.92
67,LaMelo Ball,CHA,4,30.5,21.0,2.8,8.3,0.5,0.0,3.0,41.1,92.3,-0.05,0.74,-1.18,1.94,-1.18,-1.24,1.15,-1.82,1.20
68,Mikal Bridges,NYK,17,33.9,18.1,3.1,4.7,0.8,0.4,1.6,52.3,92.1,-0.06,0.22,-1.03,0.34,-0.47,-0.53,-0.19,0.44,0.75
69,Scotty Pippen,MEM,13,26.3,13.6,3.7,5.4,1.4,0.5,1.8,51.2,74.3,-0.06,-0.57,-0.81,0.64,0.76,-0.32,-0.02,0.22,-0.40
70,Ja'Kobe Walter,TOR,8,28.3,13.1,4.3,3.1,1.5,0.3,2.6,40.5,100.0,-0.07,-0.66,-0.59,-0.38,1.01,-0.74,0.79,-1.07,1.10
71,Matas Buzelis,CHI,16,26.9,14.1,4.9,1.7,0.8,1.3,2.3,50.6,75.7,-0.08,-0.48,-0.32,-1.02,-0.49,1.38,0.43,0.16,-0.28
