,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
144,Jamal Shead,TOR,14,26.1,10.9,2.4,6.4,1.6,0.1,1.4,37.2,78.6,-0.37,-1.06,-1.30,1.08,1.32,-1.09,-0.35,-1.48,-0.10
145,Jaylin Williams,OKC,11,17.9,8.1,6.2,3.1,0.5,0.5,1.8,53.7,73.3,-0.38,-1.55,0.16,-0.39,-1.08,-0.15,0.02,0.32,-0.33
146,Karlo Matkovic,NOP,13,21.5,11.3,5.9,1.4,0.7,0.7,0.6,61.0,73.3,-0.38,-0.98,0.06,-1.16,-0.76,0.14,-1.12,1.11,-0.31
147,Ty Jerome,CLE,9,22.3,16.8,1.6,3.9,0.6,0.2,2.0,57.8,68.2,-0.38,-0.01,-1.64,-0.03,-1.06,-0.79,0.20,1.10,-0.80
148,Jarrett Allen,CLE,16,25.6,12.9,7.8,1.8,0.8,0.6,0.0,72.5,60.4,-0.38,-0.71,0.79,-0.97,-0.63,-0.12,-1.70,2.04,-1.74
149,Keaton Wallace,ATL,3,15.3,5.7,4.0,6.3,2.0,0.3,0.3,33.3,0.0,-0.39,-1.99,-0.69,1.07,2.10,-0.57,-1.39,-1.44,-0.18
150,Bennedict Mathurin,IND,13,27.3,16.2,5.2,1.8,1.0,0.2,1.0,41.8,83.3,-0.39,-0.12,-0.24,-0.99,-0.08,-0.93,-0.75,-0.98,1.01
151,Jared Rhoden,CHA/TOR,4,17.0,11.8,3.0,2.0,0.8,0.0,1.0,66.7,100.0,-0.39,-0.91,-1.08,-0.88,-0.63,-1.24,-0.75,1.40,0.94
152,De'Andre Hunter,ATL/CLE,14,25.3,14.1,4.0,1.4,1.1,0.3,2.1,46.8,76.9,-0.40,-0.49,-0.69,-1.17,0.07,-0.67,0.27,-0.33,-0.20
153,Trevelin Queen,ORL,3,15.0,10.3,3.0,1.7,1.3,0.0,2.0,57.9,75.0,-0.41,-1.16,-1.08,-1.03,0.64,-1.24,0.20,0.68,-0.26
154,Miles McBride,NYK,9,28.7,11.4,2.8,4.0,1.4,0.2,2.2,38.5,75.0,-0.41,-0.96,-1.16,0.02,0.89,-0.79,0.41,-1.46,-0.21
155,Nic Claxton,BKN,12,25.5,10.9,6.9,2.1,0.8,1.1,0.3,63.4,40.9,-0.41,-1.05,0.45,-0.85,-0.63,0.92,-1.39,1.30,-2.04
156,Bradley Beal,PHX,6,28.7,12.3,2.5,3.5,1.5,0.5,1.7,41.4,66.7,-0.42,-0.80,-1.27,-0.21,1.01,-0.24,-0.12,-1.07,-0.62
157,Kentavious Caldwell-Pope,ORL,13,26.5,9.2,2.6,1.9,1.2,0.3,2.1,51.9,84.6,-0.42,-1.35,-1.23,-0.92,0.25,-0.62,0.27,0.24,0.03
158,Walker Kessler,UTA,8,27.4,8.0,11.3,1.9,0.6,1.8,0.5,37.8,33.3,-0.44,-1.57,2.13,-0.94,-0.90,2.25,-1.23,-1.21,-2.02
159,Oscar Tshiebwe,UTA,7,22.1,9.7,10.0,0.9,1.0,0.1,0.0,57.4,73.7,-0.44,-1.27,1.64,-1.40,-0.08,-0.95,-1.70,0.68,-0.45
160,Miles Bridges,CHA,12,28.3,15.8,6.0,3.8,0.3,0.5,1.6,37.3,88.9,-0.44,-0.20,0.09,-0.06,-1.54,-0.24,-0.20,-2.19,0.80
161,Bub Carrington,WAS,17,32.5,11.9,4.8,6.1,0.4,0.5,1.9,39.5,72.7,-0.44,-0.88,-0.37,0.95,-1.37,-0.30,0.09,-1.31,-0.34
162,Mitchell Robinson,NYK,11,18.4,5.5,6.9,0.9,0.8,1.4,0.0,65.0,64.3,-0.44,-2.01,0.44,-1.38,-0.48,1.48,-1.70,0.74,-0.64
163,Julian Champagnie,SAS,17,25.3,11.3,4.3,1.7,0.6,0.5,2.6,40.7,89.7,-0.44,-0.99,-0.58,-1.02,-0.98,-0.30,0.76,-0.86,0.41
164,Bogdan Bogdanovic,ATL/LAC,15,23.2,10.3,2.9,3.4,0.8,0.1,2.0,50.4,91.7,-0.44,-1.16,-1.13,-0.25,-0.52,-0.97,0.20,0.14,0.14
165,Taurean Prince,MIL,16,28.9,8.7,2.9,1.6,1.4,0.4,1.6,49.5,76.5,-0.45,-1.45,-1.13,-1.08,0.87,-0.49,-0.16,0.07,-0.20
166,Collin Gillespie,PHX,15,22.7,8.9,3.9,3.6,1.1,0.2,2.0,40.5,81.8,-0.45,-1.42,-0.74,-0.16,0.21,-0.84,0.20,-0.75,-0.09
167,Ryan Dunn,PHX,15,26.2,10.8,5.7,0.7,1.2,0.5,1.9,43.5,50.0,-0.45,-1.07,-0.02,-1.48,0.35,-0.17,0.13,-0.64,-0.69
168,Sam Hauser,BOS,14,26.3,12.0,3.5,0.9,0.6,0.2,3.2,48.8,100.0,-0.45,-0.86,-0.88,-1.40,-1.02,-0.81,1.35,-0.03,0.05
169,Day'Ron Sharpe,BKN,6,21.8,7.3,8.2,2.7,0.7,0.8,0.2,50.0,50.0,-0.45,-1.69,0.93,-0.58,-0.81,0.42,-1.55,0.10,-0.44
170,Keion Brooks,NOP,12,26.8,11.5,4.6,1.0,0.8,0.8,1.2,48.6,76.9,-0.45,-0.95,-0.46,-1.33,-0.45,0.42,-0.60,-0.05,-0.20
171,Obi Toppin,IND,17,21.4,12.8,4.2,1.9,0.4,0.5,2.3,51.9,69.6,-0.46,-0.73,-0.62,-0.94,-1.37,-0.30,0.48,0.29,-0.47
172,Kyle Anderson,GSW/MIA,13,23.3,9.2,4.4,3.2,0.8,0.7,0.3,52.7,85.0,-0.46,-1.37,-0.54,-0.36,-0.59,0.14,-1.41,0.32,0.15
173,Ryan Rollins,MIL,15,21.7,9.8,2.7,3.5,0.9,0.3,1.5,52.9,76.2,-0.46,-1.25,-1.18,-0.19,-0.23,-0.71,-0.25,0.33,-0.22
174,Tosan Evbuomwan,BKN,7,23.4,9.9,5.0,3.1,1.1,0.4,1.1,41.1,75.0,-0.47,-1.24,-0.30,-0.37,0.23,-0.38,-0.62,-0.73,-0.36
175,Ziaire Williams,BKN,11,24.6,10.5,3.5,0.9,1.1,0.5,2.2,42.9,77.8,-0.47,-1.12,-0.87,-1.38,0.11,-0.15,0.37,-0.59,-0.15
176,Naz Reid,MIN,13,24.9,11.7,5.3,2.5,0.6,0.5,1.5,45.1,75.0,-0.48,-0.92,-0.18,-0.64,-0.92,-0.16,-0.24,-0.49,-0.26
177,Kris Dunn,LAC,14,24.3,7.9,2.9,1.9,1.3,0.3,1.6,48.8,100.0,-0.48,-1.60,-1.11,-0.92,0.54,-0.67,-0.21,0.02,0.09
178,Marcus Bagley,PHI,10,25.2,6.7,7.0,1.0,0.9,1.2,0.5,39.1,80.0,-0.49,-1.80,0.48,-1.33,-0.30,1.15,-1.23,-0.76,-0.10
179,Jake LaRavia,MEM/SAC,5,22.2,9.2,2.8,1.4,1.4,0.2,1.4,53.3,77.8,-0.49,-1.36,-1.16,-1.15,0.79,-0.84,-0.37,0.33,-0.15
180,Moses Moody,GSW,16,26.3,9.4,2.8,1.6,1.4,0.5,1.6,39.0,87.0,-0.49,-1.32,-1.15,-1.08,0.87,-0.24,-0.22,-0.99,0.21
181,Gary Trent,MIL,16,28.2,13.2,2.1,1.4,1.0,0.1,2.9,41.4,85.7,-0.49,-0.65,-1.42,-1.17,-0.08,-1.11,1.09,-0.92,0.34
182,RayJ Dennis,IND,3,16.0,7.7,2.0,3.0,1.3,0.7,1.7,39.1,0.0,-0.50,-1.63,-1.47,-0.43,0.64,0.09,-0.12,-0.86,-0.18
183,Marcus Garrett,CHA,2,20.5,9.5,2.0,2.5,1.5,0.5,1.0,53.3,50.0,-0.50,-1.30,-1.47,-0.66,1.01,-0.24,-0.75,0.39,-0.94
184,Colby Jones,SAC/WAS,14,27.5,9.4,4.6,2.6,1.4,0.4,0.9,46.6,65.7,-0.50,-1.33,-0.47,-0.59,0.85,-0.38,-0.89,-0.19,-0.98
185,Luke Kornet,BOS,14,21.6,9.4,6.6,1.6,0.4,1.0,0.0,67.4,60.0,-0.50,-1.32,0.34,-1.08,-1.49,0.75,-1.70,1.38,-0.87
186,Nickeil Alexander-Walker,MIN,14,25.7,9.9,4.1,3.7,0.5,0.6,1.4,41.7,82.9,-0.50,-1.24,-0.66,-0.11,-1.18,0.04,-0.41,-0.64,0.22
187,Kyle Kuzma,MIL/WAS,17,30.3,15.1,4.4,2.4,0.6,0.5,1.8,47.8,65.2,-0.50,-0.31,-0.55,-0.70,-0.98,-0.18,0.03,-0.23,-1.09
188,CJ McCollum,NOP,6,26.7,17.0,4.0,4.5,1.3,0.0,2.3,40.8,53.3,-0.50,0.03,-0.69,0.24,0.64,-1.24,0.51,-1.67,-1.85
189,Jaden McDaniels,MIN,14,28.9,10.2,4.6,1.7,0.7,1.1,0.7,45.8,72.2,-0.51,-1.18,-0.44,-1.01,-0.71,1.04,-1.03,-0.36,-0.36
190,Johnny Juzang,UTA,15,24.8,12.0,2.9,1.6,1.0,0.1,2.4,44.4,100.0,-0.51,-0.86,-1.10,-1.06,-0.08,-1.10,0.58,-0.57,0.16
191,Santi Aldama,MEM,12,27.8,11.7,5.2,3.2,0.8,0.0,2.0,46.3,66.7,-0.51,-0.92,-0.24,-0.36,-0.45,-1.24,0.20,-0.29,-0.77
192,Max Christie,DAL/LAL,14,27.7,10.8,4.4,1.6,0.9,0.3,1.4,43.9,86.1,-0.51,-1.08,-0.52,-1.04,-0.40,-0.67,-0.35,-0.48,0.46
193,Reed Sheppard,HOU,7,16.9,7.9,2.1,3.0,1.0,0.3,2.4,44.2,0.0,-0.51,-1.60,-1.41,-0.43,-0.08,-0.67,0.60,-0.31,-0.18
194,Zaccharie Risacher,ATL,15,24.9,16.1,3.1,1.2,0.3,0.5,2.2,51.6,70.0,-0.52,-0.13,-1.05,-1.24,-1.54,-0.31,0.39,0.31,-0.58
195,Peyton Watson,DEN,14,28.1,9.3,4.1,1.2,0.4,2.1,0.6,50.5,56.7,-0.52,-1.34,-0.63,-1.24,-1.49,2.89,-1.09,0.14,-1.41
196,Gary Payton,GSW,9,18.4,7.4,3.3,1.4,1.6,0.2,0.8,57.7,0.0,-0.52,-1.67,-0.95,-1.13,1.13,-0.79,-0.97,0.62,-0.42
197,Bruce Brown,NOP/TOR,11,27.3,11.4,4.9,2.7,0.5,0.5,1.2,47.1,73.7,-0.53,-0.97,-0.34,-0.56,-1.08,-0.15,-0.58,-0.23,-0.35
198,Rui Hachimura,LAL,9,29.3,12.2,3.8,0.9,0.6,0.2,2.0,52.6,80.0,-0.54,-0.82,-0.78,-1.38,-1.06,-0.79,0.20,0.35,-0.05
199,Daniel Gafford,DAL,6,18.7,12.3,6.3,1.2,0.3,1.0,0.0,73.2,60.9,-0.54,-0.80,0.22,-1.26,-1.54,0.75,-1.70,1.92,-1.93
200,Vit Krejci,ATL,15,19.7,7.9,3.0,2.4,0.5,0.3,1.8,65.1,83.3,-0.55,-1.58,-1.08,-0.70,-1.25,-0.57,0.01,0.84,-0.04
201,Caris LeVert,ATL/CLE,12,25.1,13.3,3.5,3.3,0.8,0.5,1.4,44.6,68.4,-0.55,-0.64,-0.88,-0.28,-0.45,-0.24,-0.36,-0.59,-0.96
202,Kyshawn George,WAS,9,22.6,10.0,4.3,2.9,1.1,0.2,1.6,42.9,66.7,-0.55,-1.22,-0.56,-0.48,0.16,-0.79,-0.23,-0.61,-0.67
203,Chuma Okeke,CLE/PHI,8,24.3,6.6,5.8,1.9,0.6,0.5,1.4,50.0,66.7,-0.56,-1.81,-0.01,-0.94,-0.90,-0.24,-0.40,0.11,-0.29
204,Max Strus,CLE,13,26.8,10.6,4.4,3.3,0.2,0.2,2.2,51.5,63.6,-0.56,-1.11,-0.54,-0.29,-1.76,-0.93,0.42,0.23,-0.50
205,Mike Conley,MIN,13,24.7,7.7,2.5,4.6,0.8,0.2,1.5,43.0,80.0,-0.56,-1.63,-1.26,0.30,-0.42,-0.78,-0.24,-0.38,-0.09
206,Jamison Battle,TOR,15,27.8,10.7,4.1,1.3,0.7,0.1,2.8,41.0,100.0,-0.57,-1.10,-0.66,-1.21,-0.67,-0.97,0.96,-0.87,-0.01
207,Brandon Clarke,MEM,3,14.7,9.0,3.7,1.0,0.7,0.3,0.0,75.0,100.0,-0.57,-1.39,-0.82,-1.33,-0.81,-0.57,-1.70,1.64,0.46
208,Jock Landale,HOU,7,17.4,9.1,4.1,1.4,0.9,0.1,0.7,71.8,60.0,-0.57,-1.37,-0.63,-1.14,-0.40,-0.95,-1.03,1.50,-0.53
209,Yves Missi,NOP,10,25.7,11.2,9.7,1.7,0.2,1.3,0.0,56.4,57.1,-0.57,-1.00,1.53,-1.02,-1.83,1.35,-1.70,0.67,-2.54
210,Cam Whitmore,HOU,7,16.1,11.7,2.9,1.3,0.4,0.1,1.7,60.4,85.7,-0.57,-0.91,-1.13,-1.21,-1.33,-0.95,-0.07,1.00,0.06
211,Jose Alvarado,NOP,13,26.8,12.0,2.5,4.8,1.0,0.2,1.8,35.4,80.0,-0.57,-0.86,-1.26,0.37,-0.08,-0.78,0.05,-1.96,-0.03
212,Marcus Sasser,DET,9,19.1,11.1,1.8,3.0,0.9,0.0,1.7,45.9,85.0,-0.58,-1.02,-1.55,-0.43,-0.33,-1.24,-0.12,-0.29,0.30
213,Tyrese Martin,BKN,12,25.1,9.6,3.8,3.5,0.8,0.1,1.8,40.6,85.7,-0.59,-1.29,-0.75,-0.21,-0.63,-1.07,-0.04,-0.82,0.10
214,Malik Beasley,DET,15,29.7,16.1,2.0,1.8,0.5,0.1,3.9,38.8,79.3,-0.59,-0.14,-1.47,-0.97,-1.25,-1.10,1.97,-1.69,-0.07
215,Jeremy Sochan,SAS,9,26.3,11.8,5.2,2.0,0.8,0.4,0.4,48.9,72.7,-0.59,-0.90,-0.21,-0.88,-0.57,-0.35,-1.28,-0.04,-0.49
216,Tyus Jones,PHX,15,21.1,9.5,2.3,3.3,0.9,0.1,1.9,44.7,100.0,-0.59,-1.31,-1.34,-0.28,-0.38,-1.10,0.13,-0.40,-0.05
217,Andrew Nembhard,IND,16,29.0,9.6,3.8,4.7,0.8,0.2,0.8,43.5,77.8,-0.60,-1.29,-0.76,0.33,-0.49,-0.86,-0.99,-0.56,-0.15
218,Trendon Watford,BKN,15,25.5,12.9,4.1,3.4,0.5,0.3,0.8,50.7,71.7,-0.60,-0.70,-0.66,-0.25,-1.10,-0.57,-0.94,0.17,-0.72
219,Dennis Schroder,BKN/DET/GSW,14,29.9,11.8,2.8,6.0,0.6,0.1,1.1,35.8,83.9,-0.60,-0.90,-1.16,0.92,-1.02,-1.09,-0.69,-1.52,0.65
220,Tim Hardaway,DET,14,26.9,13.3,2.0,1.4,0.3,0.1,2.6,42.6,96.7,-0.61,-0.63,-1.47,-1.17,-1.64,-0.95,0.81,-0.78,0.99
221,Reece Beekman,BKN/GSW,8,21.4,4.8,2.3,3.6,1.8,0.0,0.3,35.1,100.0,-0.61,-2.15,-1.37,-0.15,1.55,-1.24,-1.47,-0.68,0.62
222,KJ Simpson,CHA,13,28.7,9.1,3.3,4.0,1.2,0.2,1.3,36.0,84.6,-0.61,-1.38,-0.96,0.02,0.25,-0.93,-0.46,-1.46,0.03
223,D'Angelo Russell,BKN/LAL,7,25.1,11.3,3.0,5.3,1.0,0.1,2.0,31.6,75.0,-0.62,-0.99,-1.08,0.60,-0.08,-0.95,0.20,-2.30,-0.36
224,Antonio Reeves,NOP,14,24.4,12.4,2.0,1.1,0.8,0.1,2.1,48.5,77.3,-0.63,-0.79,-1.47,-1.27,-0.55,-0.95,0.27,-0.08,-0.18
225,Jarace Walker,IND,16,17.8,8.7,3.6,1.8,0.5,0.3,1.8,51.5,87.5,-0.63,-1.45,-0.84,-0.97,-1.18,-0.74,-0.04,0.21,-0.04
226,Lauri Markkanen,UTA,2,25.0,16.0,1.5,1.5,0.0,0.5,2.5,42.9,100.0,-0.63,-0.15,-1.66,-1.11,-2.27,-0.24,0.67,-1.08,0.78
227,Sam Merrill,CLE,14,21.3,6.8,2.9,2.1,1.1,0.3,1.9,39.1,0.0,-0.63,-1.79,-1.13,-0.82,0.07,-0.67,0.13,-0.68,-0.18
228,Jeremiah Robinson-Earl,NOP,15,23.4,8.4,6.1,2.0,0.7,0.0,1.1,46.2,86.7,-0.63,-1.50,0.11,-0.88,-0.81,-1.24,-0.63,-0.21,0.08
229,Terance Mann,ATL/LAC,15,22.5,10.1,3.1,1.5,0.9,0.1,1.0,53.4,86.7,-0.64,-1.19,-1.05,-1.09,-0.38,-1.10,-0.75,0.40,0.08
230,Jusuf Nurkic,CHA/PHX,15,19.1,10.4,6.1,2.5,0.5,0.7,0.7,49.6,60.0,-0.64,-1.15,0.11,-0.67,-1.25,0.09,-1.01,0.06,-1.30
231,Sandro Mamukelashvili,SAS,17,17.4,10.2,4.9,1.4,0.4,0.2,1.5,50.0,78.3,-0.65,-1.17,-0.32,-1.18,-1.50,-0.77,-0.25,0.10,-0.14
232,Jaime Jaquez,MIA,12,17.3,8.4,4.2,2.8,0.7,0.3,0.5,52.5,73.3,-0.66,-1.50,-0.62,-0.55,-0.81,-0.57,-1.23,0.29,-0.32
233,Nick Richards,CHA/PHX,11,21.6,8.5,6.5,0.5,0.3,0.6,0.0,56.3,87.5,-0.67,-1.47,0.27,-1.58,-1.67,0.03,-1.70,0.57,0.24
234,Elfrid Payton,CHA/NOP,11,22.3,2.9,3.8,8.9,0.7,0.5,0.1,25.5,60.0,-0.67,-2.47,-0.76,2.23,-0.68,-0.33,-1.62,-1.31,-0.40
235,Oso Ighodaro,PHX,15,25.0,6.2,5.1,1.9,0.6,0.6,0.0,61.4,70.0,-0.67,-1.89,-0.27,-0.91,-0.96,-0.04,-1.70,0.72,-0.32
236,Norman Powell,LAC,14,31.4,15.1,2.1,1.7,0.9,0.1,2.0,43.8,71.4,-0.67,-0.30,-1.44,-1.01,-0.24,-1.09,0.20,-0.83,-0.67
237,Haywood Highsmith,MIA,15,26.8,6.7,4.5,2.1,0.9,0.3,1.3,41.8,57.1,-0.68,-1.81,-0.48,-0.85,-0.23,-0.71,-0.44,-0.47,-0.44
238,Dalen Terry,CHI,14,18.1,6.7,2.9,1.9,1.1,0.1,1.1,43.8,90.0,-0.69,-1.80,-1.13,-0.92,0.23,-0.95,-0.69,-0.31,0.07
239,Buddy Hield,GSW,16,20.7,9.3,3.1,1.1,0.7,0.1,2.1,41.1,100.0,-0.69,-1.34,-1.05,-1.31,-0.77,-0.99,0.32,-0.70,0.34
240,Cory Joseph,ORL,13,21.2,6.4,2.9,2.7,1.0,0.0,1.5,41.8,88.9,-0.69,-1.86,-1.11,-0.57,-0.08,-1.24,-0.31,-0.38,0.04
241,Bobi Klintman,DET,2,12.5,7.5,1.5,3.0,1.0,0.0,1.0,75.0,50.0,-0.69,-1.66,-1.66,-0.43,-0.08,-1.24,-0.75,1.26,-0.94
242,Cole Anthony,ORL,7,14.9,6.7,2.7,2.3,0.4,0.7,1.3,41.7,88.9,-0.69,-1.80,-1.19,-0.75,-1.33,0.19,-0.48,-0.39,0.24
243,Isaiah Mobley,PHI,1,17.0,6.0,4.0,5.0,1.0,1.0,1.0,28.6,50.0,-0.70,-1.93,-0.69,0.47,-0.08,0.75,-0.75,-1.63,-1.70
244,Patrick Williams,CHI,16,22.6,8.9,3.2,1.9,0.8,0.3,1.4,46.6,62.5,-0.70,-1.40,-1.01,-0.94,-0.49,-0.61,-0.34,-0.19,-0.59
245,Quenton Jackson,IND,7,14.1,7.6,1.7,1.9,1.3,0.0,0.7,47.1,84.2,-0.70,-1.65,-1.58,-0.95,0.54,-1.24,-1.03,-0.06,0.35
246,Derrick Jones,LAC,15,22.5,8.8,3.1,0.7,0.7,0.7,1.0,53.1,68.2,-0.70,-1.43,-1.03,-1.45,-0.81,0.09,-0.75,0.33,-0.55
247,Jalen Wilson,BKN,14,24.7,11.4,4.0,2.1,0.4,0.1,2.4,40.2,75.8,-0.70,-0.96,-0.69,-0.85,-1.49,-0.95,0.54,-0.94,-0.28
248,N'Faly Dante,HOU,3,10.7,4.7,4.0,0.3,0.3,1.0,0.0,85.7,100.0,-0.71,-2.16,-0.69,-1.64,-1.54,0.75,-1.70,1.08,0.24
249,Klay Thompson,DAL,12,25.8,12.2,2.5,1.3,0.4,0.2,2.5,41.4,90.9,-0.71,-0.83,-1.27,-1.18,-1.36,-0.90,0.67,-0.97,0.17
250,Trey Lyles,SAC,15,24.5,8.1,5.2,1.5,0.7,0.2,1.2,45.7,73.1,-0.71,-1.56,-0.22,-1.12,-0.81,-0.84,-0.56,-0.20,-0.38
251,Drew Timme,BKN,9,28.2,12.1,7.2,2.2,0.4,0.1,1.0,44.1,62.5,-0.72,-0.84,0.56,-0.78,-1.30,-1.02,-0.75,-0.69,-0.91
252,Trey Murphy,NOP,2,19.0,10.0,3.0,1.5,0.0,0.5,2.0,43.8,100.0,-0.72,-1.22,-1.08,-1.11,-2.27,-0.24,0.20,-0.48,0.46
253,Grayson Allen,PHX,11,20.5,10.2,2.6,1.9,0.6,0.0,1.8,43.7,84.2,-0.72,-1.18,-1.22,-0.92,-0.88,-1.24,0.02,-0.48,0.16
254,Monte Morris,PHX,5,10.0,7.8,2.0,1.4,0.6,0.0,1.8,58.3,100.0,-0.72,-1.61,-1.47,-1.15,-0.96,-1.24,0.01,0.57,0.07
255,AJ Johnson,MIL/WAS,17,31.9,11.0,2.8,3.4,0.6,0.2,1.2,38.8,87.9,-0.72,-1.04,-1.17,-0.25,-0.98,-0.89,-0.59,-1.27,0.40
256,DaQuan Jeffries,CHA,16,27.2,8.9,3.4,1.3,0.5,0.6,1.6,41.4,76.9,-0.72,-1.42,-0.93,-1.22,-1.18,0.01,-0.16,-0.70,-0.19
257,Orlando Robinson,SAC/TOR,12,23.5,10.2,6.8,2.2,0.3,0.3,0.8,45.9,72.2,-0.72,-1.19,0.38,-0.81,-1.72,-0.74,-0.99,-0.34,-0.39
258,Caleb Houstan,ORL,14,19.6,6.8,2.4,1.2,0.7,0.2,1.8,54.0,66.7,-0.73,-1.79,-1.33,-1.24,-0.71,-0.81,-0.01,0.32,-0.25
259,Kenrich Williams,OKC,16,22.0,8.5,4.3,2.2,0.7,0.2,1.2,48.2,53.8,-0.73,-1.48,-0.57,-0.80,-0.77,-0.86,-0.58,-0.05,-0.71
260,Alec Burks,MIA,13,17.4,9.8,2.1,1.1,0.5,0.1,2.6,45.7,87.5,-0.73,-1.26,-1.44,-1.30,-1.26,-1.08,0.78,-0.26,0.00
261,Nick Smith,CHA,13,25.6,12.4,2.6,3.6,0.1,0.0,2.3,38.6,95.0,-0.73,-0.79,-1.23,-0.15,-2.10,-1.24,0.49,-1.38,0.59
262,Duncan Robinson,MIA,11,21.2,10.5,1.5,1.5,0.5,0.1,2.5,46.6,83.3,-0.73,-1.14,-1.64,-1.13,-1.28,-1.06,0.72,-0.22,-0.09
263,Emoni Bates,CLE,3,15.7,10.3,2.3,1.3,0.0,0.3,3.0,45.8,0.0,-0.73,-1.16,-1.34,-1.18,-2.27,-0.57,1.15,-0.29,-0.18
264,Jamal Cain,NOP,10,19.3,10.7,3.0,0.6,1.0,0.2,1.2,46.9,73.1,-0.73,-1.09,-1.08,-1.51,-0.08,-0.84,-0.56,-0.19,-0.48
265,Georges Niang,ATL/CLE,14,20.4,11.4,1.7,1.1,0.4,0.1,2.8,45.2,80.0,-0.73,-0.98,-1.58,-1.27,-1.49,-0.95,0.94,-0.40,-0.13
266,Luke Kennard,MEM,13,23.6,6.2,2.9,3.2,0.9,0.0,0.8,45.7,100.0,-0.73,-1.90,-1.11,-0.36,-0.25,-1.24,-0.90,-0.16,0.06
267,Jonas Valanciunas,SAC/WAS,16,14.0,7.8,5.6,1.3,0.2,0.3,0.0,59.1,95.5,-0.73,-1.60,-0.06,-1.22,-1.86,-0.61,-1.70,0.68,0.52
268,Tolu Smith,DET,1,22.0,14.0,8.0,0.0,0.0,0.0,0.0,66.7,66.7,-0.74,-0.51,0.87,-1.79,-2.27,-1.24,-1.70,1.82,-1.07
269,T.J. McConnell,IND,17,17.9,7.9,2.8,4.6,0.7,0.2,0.1,48.8,71.4,-0.74,-1.59,-1.17,0.28,-0.73,-0.77,-1.59,0.00,-0.31
270,Royce O'Neale,PHX,14,20.7,7.8,4.1,2.0,0.3,0.4,2.2,37.5,0.0,-0.74,-1.61,-0.66,-0.88,-1.64,-0.38,0.40,-0.97,-0.18
271,Jonathan Isaac,ORL,12,12.3,3.8,3.4,0.8,0.9,1.2,0.1,41.0,75.0,-0.74,-2.33,-0.92,-1.41,-0.27,1.09,-1.63,-0.22,-0.26
272,Mouhamed Gueye,ATL,14,16.4,5.4,5.4,0.9,0.6,0.9,0.5,39.4,73.9,-0.75,-2.03,-0.16,-1.37,-0.86,0.47,-1.23,-0.47,-0.33
273,Goga Bitadze,ORL,13,15.5,5.2,4.9,1.8,0.7,0.8,0.0,53.1,66.7,-0.75,-2.06,-0.33,-0.99,-0.76,0.30,-1.70,0.25,-0.73
274,Dalano Banton,POR,15,22.4,9.5,2.4,3.5,0.7,0.7,1.1,33.3,78.1,-0.76,-1.30,-1.31,-0.22,-0.81,0.22,-0.69,-1.87,-0.13
275,Duop Reath,POR,11,17.5,7.7,3.9,0.9,0.4,0.4,1.2,47.1,100.0,-0.76,-1.62,-0.72,-1.38,-1.47,-0.51,-0.58,-0.11,0.28
276,Ronald Holland,DET,14,16.4,8.0,3.1,1.6,0.7,0.6,0.5,58.1,63.3,-0.76,-1.57,-1.05,-1.04,-0.71,-0.10,-1.23,0.60,-1.01
277,John Konchar,MEM,11,11.5,2.6,3.4,0.9,1.3,0.2,0.6,55.6,100.0,-0.77,-2.52,-0.94,-1.38,0.51,-0.87,-1.10,0.23,-0.07
278,Jordan Goodwin,LAL,17,18.1,4.6,3.6,1.7,1.0,0.4,0.7,37.5,87.5,-0.77,-2.17,-0.85,-1.02,-0.08,-0.42,-1.03,-0.57,-0.05
279,Delon Wright,MIL/NYK,10,21.2,5.3,1.7,2.7,1.1,0.2,0.7,45.7,80.0,-0.78,-2.05,-1.58,-0.57,0.13,-0.84,-1.04,-0.12,-0.14
280,Wendell Moore,CHA/DET,8,20.6,6.5,3.6,1.6,1.0,0.1,0.6,51.2,60.0,-0.78,-1.84,-0.84,-1.05,-0.08,-0.99,-1.11,0.18,-0.48
281,Yuki Kawamura,MEM,2,14.5,6.0,2.5,2.5,0.5,0.0,1.5,37.5,100.0,-0.78,-1.93,-1.27,-0.66,-1.18,-1.24,-0.28,-0.46,0.78
282,Pelle Larsson,MIA,12,18.4,6.6,2.6,2.1,1.2,0.3,0.8,43.1,65.0,-0.79,-1.82,-1.24,-0.85,0.28,-0.74,-0.91,-0.33,-0.75
283,Richaun Holmes,WAS,5,12.6,5.8,4.8,0.6,0.4,0.6,0.0,55.0,87.5,-0.80,-1.96,-0.38,-1.51,-1.39,-0.04,-1.70,0.34,0.28
284,Kessler Edwards,DAL,3,22.3,4.7,4.3,0.7,0.3,0.3,1.3,62.5,0.0,-0.80,-2.16,-0.56,-1.48,-1.54,-0.57,-0.44,0.50,-0.18
285,Jaylen Martin,BKN/WAS,10,22.2,7.0,3.9,1.7,0.9,0.0,0.5,43.8,90.0,-0.81,-1.75,-0.73,-1.02,-0.30,-1.24,-1.23,-0.36,0.18
286,Nicolas Batum,LAC,13,14.6,4.6,2.7,0.7,0.6,0.4,1.4,60.6,66.7,-0.81,-2.17,-1.20,-1.47,-0.92,-0.47,-0.39,0.43,-0.25
